topic,label,tweet
yakub,negative,"Salman's views in favour of Yakub can be usedby prosecution in hit n run case tp prove him not a law abiding citizen,it may cost him dearly"
naruto,positive,Decided to watch Rick and Morty will probably watch Naruto tomorrow such a good movie hits ya right in the feels
national hot dog day,positive,"REMINDER: NATIONAL HOT DOG DAY - This Thursday, July 23 from 5-7pm on the Village Green. Grilled dogs with all the... http://t.co/sMKRjFxw8f"
kane,positive,Harry Kane may be a noble prince but he can't score goals without his army behind him aka WHY IS KANE ALWAYS ALONE UP FRONT CMON GUYS UGH
dustin johnson,positive,"Just saw live scores amazing effort from Dustin Johnson to be back in 1st place, not surprising  Tiger with a 75"
amazon prime day,positive,"WOOHOOO! They have released a list of the sneak peek deals for Amazon Prime Day tomorrow! Cheap Nikon Cameras,... http://t.co/iFxPpGGs8d"
curtis,positive,"Can't wait for this. Curtis, keep doing your thing. Hope you get to tour over here in the UK. #ProductOfMyDna https://t.co/3IyjCtFjEC"
nicki,positive,@anaaheartbeat @Aliina57 I'm watching the red carpet for Nicki mostly. They're gonna air the show tomorrow night so I might go to bed after
tsipras,positive,Tsipras says that the September 20 elections will provide his party a strong mandate to form a majority government. http://t.co/pWzd4KhDmj
kris bryant,negative,Kris Bryant is just too tall to play 3rd base
taylor swift,positive,Bart De Brandt. @sierufeb Resplendent Taylor Swift Images. You may want to check: http://t.co/LhmqivXnCq
nokia,positive,OMG. It's the 15th birthday of the Nokia 3310. I had one. Sigh. You only had to charge its battery weekly.
sarah palin,negative,Fantastic! Sarah Palin demands that migrants to USA 'speak American'. Can't make this stuff up. http://t.co/rxPfEubTiW
national hot dog day,positive,National Hot Dog Day on Thursday?  Come at me you muthas!
frank gifford,positive,"Frank Gifford, a golden boy who helped usher the NFL into its golden age, died Sunday, exactly a week shy of his... http://t.co/L232wDdhnh"
chris brown,positive,"Worked yesterday then the Chris Brown concert, worked again today and got a full day tomorrow, too... Im ready for another cruise! #Vacation"
fleetwood mac,positive,Sat in the garden listening to some Fleetwood Mac. Living the dream.
murray,positive,4th set point in this game and  challenge called in. Anderson 2-0 sets. Murray much more promising at the end of the 2nd. He's not out yet!
briana,negative,So Briana is allowed to smoke but not allowed to take photos by fans because it may affect the baby oKAY THEN.
kanye west,positive,I liked a @YouTube video http://t.co/Imh6XoQUqD Nicki Minaj - Blazin' ft. Kanye West with lyrics - PINK FRIDAY
paul mccartney,positive,I'll be in the presence of Paul McCartney tomorrow night so if you hear of a guy ripping his skull out in downtown Chicago it wasn't me
pope,positive,The Pope RSVPd. Have you? Take your selfie with the pop-up Pope at our Fall Social on Monday! http://t.co/jHdq6ZvWIw
bad blood,positive,"Jess Glynne has a song called ""Bad Blood"" on her new album &amp; I'm seeing her in November &amp; I hope she does a BB/BB Remix."
oracle,positive,Plz halp. I need to see The Weeknd at the Oracle in December.
abc,positive,ABC's #TGIT may simply be the best night of the week from great casting to stories to performances to the music tying it all together
shawn,positive,I'm so blessed I've been able to reunite with Nash and see all the other boys this past weekend and I get to see Shawn live for the 1st time
tom brady,negative,Roger Goodell do your job. Tom Brady is suspended 1st 4 games. Patriots forfeit any of those games he plays. #thatisall #bermanhasnopower
gucci,positive,"The fam at @WishATL hit you with a really dope look at the upcoming ""Gucci"" Foamposite Pro...available this Friday! http://t.co/EfMxLg7L3o"
ahs,negative,wow the 4th season of AHS is like not good
naruto,positive,can it be Thursday already I'm trying to watch the new Naruto episode
george osborne,negative,"Bumpy road ... George Osborne - UK won't help with brigding loan to Greece"" according to The Guardian. http://t.co/HNzyOkMzi3"
gucci,negative,Gucci plurality psychic apparatus unfearfulness august sufflate the span thine joker goodwill accumulation to ...
messi,positive,2nd time having ronaldo and Messi .... Plus a cheeky hazard on the bench !! @Castro1021 @TheReevHD @Nick28T http://t.co/4FlPAPpqnk
tom brady,positive,There's taking the high road and then there's what Tom Brady said about Roger Goodell Sunday. How smart was Brady... http://t.co/TgRH0demrS
calibraska,positive,@JackJackJohnson @jackgilinsky I'm so excited for the August 8th Chicago show and to hear calibraska live oh my goodness
frank gifford,positive,Frank Gifford still has the most TD's (78) in @Giants history. He is 8th in rushing yds &amp; 2nd in receiving yds. Also 20th in TD passes (14).
pride parade,positive,"Embrace community diversity, &amp; unity once again as the Pride Parade celebrates its existence for 37 years this Sunday http://t.co/76DTaRhzZJ"
lady gaga,positive,C'mon babes! Let's vote on Gaga and put her again on 1st. It's missing just 2 days till the end! #MTVStars Lady Gaga https://t.co/LzqkSlTibX
birthday cake,positive,"@kinagrannis Two Birthday Cakes! One with Jelly Beans! I wonder what kind of Birthday Cake the 2nd one was? Goodnight Kina, Emi, and Misa."
thor,positive,"Skye: Wouldn't mind getting my human hands on Thor. He's so dreamy. Coulson: Sure, he's handsome, but - May: [interrupting] No. He's dreamy."
boko haram,negative,9 children roasted to death after Boko Haram attack on Cameroonian village: Boko Haram members yesterday July 19th attacked the borde...
birthday cake,positive,"Birthday Cake is gonna be the song leading us into 4th quarter, count it."
seinfeld,positive,"About to watch about 15 episodes of Seinfeld till work is over, fuck 3rd shift"
tiger woods,positive,"Aug 22, 2015; Greensboro, NC, USA; Tiger Woods putts on the 9th green during  yesterday's third round of the... http://t.co/wtxxXzaJBu"
amy schumer,positive,"I'm just really excited for my comedy filled day tomorrow... Amy Schumer live AND John Mulaney on Netflix?! Thank you, America."
milan,positive,Part of the Dluxe team are off to Milan tomorrow! Feel free to throw out recommendations to us for things to do #milan #thingstodoinmilan
charlie hebdo,positive,"Before we were all Charlie Hebdo, now we are all Parisian - tomorrow we may have to identify with others, but we must not be intimidated"
david bowie,positive,"i did not think about david bowie very much today. tomorrow will be different, i promise"
democrats,negative,Today *very* rare day when Democrats will get healthier on their Club for Growth scorecards than most Republicans.
tom brady,positive,How about one on how ESPN got played like a fiddle by the NFL in an attempt to tarnish Tom Brady's legacy? https://t.co/GcGmpGGHAc
cate blanchett,positive,"Cate Blanchett in the Marvel universe? Oh, we would LOVE this. https://t.co/rBHTeWKrXj"
star wars day,positive,"Only 2 more days of spirit week left! Tomorrow, in preparation for the new movie, Star Wars day!"
national hot dog day,positive,"Here's where to get a free hot dog tomorrow, on National Hot Dog day http://t.co/7f4DeqaFHX via @HPLifestyle"
venice beach,positive,Oh how the sun makes me happy.   #sunsetswithmearethebest @ Venice Beach https://t.co/WHrWO6zHv0
janet jackson,positive,"You could win tickets to see Janet Jackson at Bankerslife Fieldhouse Nov 9.  txt "" MISSJANET""  to 24609 for you... http://t.co/j3SQpNh5w8"
tory,negative,No point asking for humanity from a Tory. Pretty sure they are all replicants created by the Nazis after WWII. Especially Theresa May.
foo fighters,positive,Can't wait to see Foo Fighters next Sunday&amp;with Royal Bloods supporting will be insane
janet jackson,positive,Talking about Janet Jackson...I can't wait to see her in February!  #UnbreakableWorldTour
star wars,positive,December 16 &amp; 17 will be the best two consecutive days ever. NXT Takeover live in London and then Star Wars
star wars day,positive,"@Teppotastic @CutoutPanda I probably will, for Star Wars day (19th for us)!"
yoga,positive,"Yoga and Aging Gently starts tomorrow at 2pm with these mature, wise teachers. Aging gracefully allows us to... http://t.co/6YlwOwnbBL"
angela merkel,positive,40% of Syrians are graduates.  Perhaps Angela Merkel's decision is not just humanitarian.  http://t.co/D7IL2QP6DY http://t.co/LED4qYWrRS
federer,positive,Federer is through to his 15th straight 4th round at the US Open. He's 8-4 with two other wins by walkover. http://t.co/p36dNjyxkV
kanye west,positive,Kanye West becomes the 1st rapper ever to be on the cover of The New Yorker Magazine...but something looks a bit off http://t.co/T3JQPij1RJ
dunkin,positive,Dunkin will be the love of my life tomorrow
joe biden,positive,http://t.co/2smw1TjSZo Joe Biden drops hints about his next move; teacher donates kidney to her 1st grade student.
david cameron,positive,David Cameron considering taking Syrian refugees from UN  camps makes sense may stop the masses paying the traffickers who trade on misery
ric flair,positive,I guess we will be doing lots of Bear Crawling in the A.M. They will sleep better and early tomorrow night at FCA Camp! Wooo Ric Flair
snoop dogg,positive,I'm going to see Snoop Dogg (aka DJ Snoopadelic) dj tomorrow at Sankeys and that's all that matters
gay,positive,Also disturbing is that HICK MORON CLERK has no idea FEDERAL LAW SUPERSEDES STATE LAW! What about GAY couple 1st Admnt rights? @Lawrence
michelle obama,positive,Ugh! Michelle Obama was selected the Best Dressed Woman by The Sunday Times (Time). http://t.co/0bQ4SnQfxH https://t.co/U9cmWaOoFR
eid,positive,"Good morning everyone! Remember to catch the great deals offered for Eid, they're extended until Thursday. http://t.co/PwW2TKsdYW #discount"
zac brown band,positive,Who's going to Zac Brown Band this Sunday??
kanye west,positive,I'm really looking forward to adding Kanye West to our wall of presidential candidates at the office tomorrow. #VMAs
paper towns,negative,If i see one more tweet about how Paper Towns is out tomorrow I'm going to lose my shit. We fucking get it
saudi arabia,negative,@ronaldstacey @jeremycorbyn excuse me? Cameron does dirty deals with Saudi Arabia may I remind you
frank gifford,positive,Sad Frank Gifford dies today at 84( turn out the lights the partys  over)If you remember that its from Monday... http://t.co/nLOwA1RUed
iron maiden,positive,"@TMKSonYES @DonLagreca @IronMaiden Big day on Friday, Don. A brand new double Iron Maiden CD."
ted 2,positive,@1975jetsfan4 Inside Out may be my favorite after Spy and Ted 2. I want to see Terminator but Inside Out was fantastic.
eid,positive,"this message is for all my dear female friends, YOU ALL LOOKED PRETTY AS HELL ON EID. may you all remain pretty... http://t.co/aaJdo5dkDp"
thor,positive,Win tomorrow and we get another shot at a 3 game set with Harvery deGrom and Thor #WontHappenAgain
kendrick,positive,Kendrick at the end of black Friday crack me up every time
curtis,negative,Having a really hard time processing that Connor Howell sat on the Curtis side at the game last night.
ice cube,positive,One thing though: when they show Ice Cube wiring the script for FRIDAY... that was inspiring as hell. A lot more tomorrow.
eric church,positive,"You may not know this, but before he was a famous country star . . . Eric Church was a KNIFE salesman.  He talked... http://t.co/TifssYucK8"
paper towns,positive,On Tuesday Im going to see Paper Towns with my friend and Im actually so excited
briana,positive,"@betty_days Sorry to hear that! If things change before Feb, lemme know! I'll buy you a coffee and squee about Kim and Briana at you. *lol*"
gilmore girls,negative,Tonight may be the night when I finally expose myself to the Gilmore Girls hysteria
nicki,positive,I CAN'T WAIT to see Nicki at the VMA'S tomorrow
curtis,positive,"Threw her off....I may listen to all my gangsta shit out and about... but when Im in my room its all Last Poets, War, Gil Scott, and Curtis"
ps4,positive,"I may be playing #MGSV on a PS3, but I'm 4 hours in and still having a blast. One day I will revisit it on PS4 and truly admire the visuals."
gay,positive,"4th week running going out tonight hahaha, gay nights are so good"
kris bryant,positive,We go to the 4th as the Cubs lead 3-2 thanks to Kris Bryant's two run home
naruto,positive,"There's this scene in the 2nd season of naruto where sasuke says ""what's up ""and I laugh so hard every time"
national hot dog day,positive,"Today is National Hot Dog Day. I feel that since it is also two-slice Thursday, @VinnysPizza594 should've had a chili cheese hot dog pizza."
calibraska,positive,"So tomorrow when Calibraska comes out, everyone go get it and make it go to number 1! #CalibraskaEP"
milan,positive,@happyfishmoon Thanks Milan a city beautiful happy Sunday  for you
nokia,positive,1st of all I'm a big fan of @LumiaRSA &amp; @MicrosoftSA. Since early 2000 i was using Nokia &amp; I'm still using. it's easy to use and affordable
watchman,positive,"Best email of the day: Amazon informed me my copy of ""Go Set a Watchman"" will be here TOMORROW! YAY! 2 days earlier to literary heaven!"
chris evans,positive,"Fell in love with Chris Evans, wanna download all of his movies tomorrow."
paper towns,positive,When you summer has been so wild that the highlight is going to see the Paper Towns tomorrow
afolayan,positive,"I should see it ""@EditiEffiong: In October 1, Kunle Afolayan delivered what's arguably the best film out of Nollywood yet."""
national ice cream day,positive,"Moms gone, it's National Ice Cream Day, and school starts tomorrow.  This is Dinner.  #Ben #Jerry https://t.co/4lbyk0iVcq"
serena,positive,"Happy for Serena. I want her to win the 22nd GS, tie Steffi and win the CYGS. @usopen #usopen"
sting,positive,BREAKING: @WWE just announced that Sting will open Monday's edition of #RAWTampa at 8pm EST. http://t.co/RtZucAaWoS
david bowie,positive,"In 4 @TheRealJimLewis on @whms975 80's Saturday Night. There will be David Bowie, Motley Crue &amp; Christopher Cross so it's obviously awesome."
national ice cream day,positive,Let's celebrate the days leading up to National Ice Cream Day on July 19 by eating ice cream. Then let's have a... http://t.co/4HQG3V93fD
brock lesnar,positive,"As long as triple h,john cena, and Brock Lesnar are still in the WWE I got no shame in watching the occasional Monday night raw"
white sox,positive,"White Sox win a challenge, Alexei Ramirez ruled safe at second upon review. Sanchez up with 0 out in the 5th."
teen wolf,positive,@haley_caley11 Friday Night lights will make you cry. Teen wolf will overcome your life
rousey,positive,"- As I said immediately after her fight on Saturday, if you aren't behind Rousey at this point, it's envy.  If I... http://t.co/TCSxUYvkOl"
ant-man,positive,thinking about the number of people who may have discovered The Cure through Ant-Man makes me SO HAPPY
moto g,positive,@flipkartsupport Not able to find out Moto G 3rd Gen 16 GB over Website ? Is it out of Stock or what ? Hope to hear back soon.
grateful dead,positive,@JohnMayer is gonna play Grateful Dead and I'm very excited about that. I would love to here him try to play some @phish . Mayer may you?
iron maiden,positive,"Excellent gig Friday, Pantera &amp; Iron Maiden tribute bands. Those are the times you wished you hair to head bang : ) #heavymetal"
jason aldean,positive,Kinda upset I'm gunna miss the @RondaRousey fight Saturday.. But Kenney Chesney and Jason Aldean should be a blast!
yoga,positive,Let's go for YOGA!   Every Sunday morning 9:00 - 10:00 at Buddha Mind Monastery!  Free &amp; open to the public. http://t.co/YAdm7wpasl
caitlyn jenner,negative,This is a trending topic: Caitlyn Jenner may face manslaughter charge You cannot make this stuff up.
ios,positive,"@KymLang links are working fine on my IOS device. Some times on the first click I get a ""open in safari ?"" Cancel it &amp; do a 2nd click. Works"
frank ocean,positive,"if frank ocean drops the first part of 'boy don't cry' tomorrow, all will be well ."
briana,negative,@LycahF but a friend of Briana said that Louis may not be the dad because she's also hooking up with other guys that time
the horn,positive,"Well, beautiful people the actual album in full glory will arrive today ready for tomorrow at the Horn! Thanks to @discfactory you guys rock"
kendrick,positive,Live ass Kendrick concert with my boy Harper lastnight live ass Rockets game with my boy Woodley Saturday NS won my weekend was great
michael jackson,positive,Mojo just did a mini-mix of classic Michael Jackson that just made my Thursday better.
janet jackson,positive,"@ryannichols7 If there's one thing I can guarantee Monday, it's Janet Jackson worship, which I'm always here for."
dunkin,positive,Just went to dunkin donuts for the 1st time
kanye west,negative,"In a world where Kanye West is president and Miley Cyrus performs a song saying she smoke pot and love peace, I may as well kill myself!"
janet jackson,positive,Janet Jackson Pays Tribute To Aaliyah On the 14th Anniversary Of Her Death [Photo] http://t.co/Jzgv7XBjM9
david bowie,positive,"Soundtrack for the weekend: https://t.co/BrtpZDuvfO (David Bowie, The Man Who Sold the World '95, September '95)."
ibm,positive,Try out the 1st lab series for IBM #MobileFirst Platform 7.1 #mobile #ibmmobile http://t.co/TeaVjd0clX http://t.co/MhgpNgs1OU
toyota,positive,In Arusha for tomorrow's annual Toyota cocktail and dinner at the HRC. Looking forward to seeing old friends and Toyota customers.
gucci,positive,I found out gucci was coming out with a movie on October 17th so I made a twittta
paul dunne,positive,'Paul Dunne' appeared on Monday 20 at the 15th place in the Top20 of Glasgow's Trends: http://t.co/JTD6fkDcaw #trndnl
harper,negative,"@CBCNews Trudeau may do better if he attacked the NDP, no need to waste time on Harper the Media is 24/7 with the anti Harper narrative"
zlatan,positive,I would love to have cavani man. He's over shawdowed and played 2nd fiddle to Zlatan he would shine at arsenal
mikasa,positive,@LovingPackage Yes! I love that brand. I have a Mikasa one and a Levi one coming. I don't have the BB ones yet though. I may get them.
naruto,positive,"These ratings speak more to Naruto than One Piece. Not bad though, better than it usually did at 1, somehow. https://t.co/n3ahCApNAn"
chris brown,positive,That's a wrap for the weekend! Mika and Chris Brown finish in P6 (2nd in class) in the @AMOC_Racing Intermarque Championship
ric flair,positive,*whispers* Ric Flair is at least a seventeen time World Champion. John Cena won't tie him if he wins on Sunday.
pope,positive,[KCCI] Pope changes annulment process for divorced: Pope Francis on Tuesday radically reformed the process by ... http://t.co/iNMvrlzZw6
john kasich,positive,"Wow, Gov @BobbyJindal John Kasich made it. FOX Announces 10 Candidates for Thursday's Prime-Time Debate http://t.co/DMWZ8Cpcvi via @nbcnews"
amazon,positive,"Yes, highly recommend ""Curiosity"" by Amanda - get it on Google Play, Amazon or other outlets.  https://t.co/B4sbFe14xO"
seth rollins,positive,Now It's time for #TitleforTitle! This is Sunday Night Rollins! Seth Rollins is the cure! #FutureIsNow #SummerSlam
venice beach,positive,Its friday i just might hit venice beach #venicebeach
@microsoft,negative,Did @Microsoft break Windows 10? Was working fine on Wednesday but now I can't get passed the login screen without it freezing up.
super eagles,positive,Congrats to Wayne Rooney for breaking the highest goal record for England. Super Eagles coach Sunday Oliseh... http://t.co/CNXjXpoodw
murray,positive,Murray will get to watch the second half of Scotland v Germany. Get him pumped for his own battle.  https://t.co/0tpTX3V6uM
ihop,positive,one of my favorite activities is going to IHOP every Friday with the squad
serena,negative,"Serena may have taken that match, but Venus wins.  So much class.  Just a good person. The same cannot be said about her sister.  #veealways"
thor,positive,"@InMetsWeTrust 5th Ace? Sure, Why Not? BALDER is the brother of Thor in Norse Mythology. Seems a reasonable moniker for a red hot baller."
dustin johnson,positive,Kudos to Dustin Johnson for finishing with a 69 after starting the day with a quadruple bogey. An 8 on the 1st could've led to an 80+ easy.
dunkin,positive,@Laydii_Tii we will ! I'm about to apply at your Dunkin tomorrow when I get off work tbh
foo fighters,positive,the ppl on the radio today made fun of Iwata passing then followed it up saying the Foo Fighters are better then Nirvana so yea happy Monday
