topic,label,tweet
minecraft,positive,"['bed', 'look', 'forward', 'flumps', 'play', 'minecraft', 'martin', 'chloe', 'tomorrow', 'hmmm', 'minecraft', 'flump']"
michael jackson,positive,"['portland', 'make', 'sure', 'catch', 'wednesday', 'alberta', 'rise', 'theater', 'hop', 'least', 'michael', 'jackson', 'cover']"
sarah palin,negative,"['say', 'make', 'think', 'sarah', 'see', 'russia', 'moment', 'basically', 'whole', 'gop']"
kanye west,positive,"['kanye', 'west', 'sent', 'taylor', 'swift', 'flower', 'must', 'political', 'move', 'taylor', 'really', 'help', 'squad']"
google,positive,"['google', 'seem', 'think', 'site', 'may', 'hack']"
national ice cream day,positive,"['july', 'national', 'ice', 'cream', 'day', 'want', 'know', 'favorite', 'ice', 'cream', 'place', 'chester', 'county', 'post']"
ice cube,positive,"['next', 'friday', 'best', 'one', 'ice', 'cube', 'make']"
john kasich,negative,"['donald', 'trump', 'guarantee', 'gop', 'debate', 'thursday', 'ohio', 'gov', 'john', 'kasich', 'might', 'make', 'cut', 'jc']"
seinfeld,positive,"['love', 'seinfeld', 'episode', 'picture']"
john cena,positive,"['jun', 'secret', 'jun', 'well', 'actually', 'john', 'cena', 'jun', 'oh', 'gawd']"
foo fighters,positive,"['arliehartman', 'john', 'play', 'song', 'foo', 'fighter', 'thursday', 'night', 'great']"
frank ocean,positive,"['fyf', 'festival', 'hey', 'frank', 'excite', 'perform', 'friday', 'frank', 'ocean', 'new', 'phone', 'dis']"
josh hamilton,positive,"['ok', 'remember', 'josh', 'hamilton', 'massive', 'round', 'etc', 'hat', 'bcuz', 'epic', 'also']"
sam smith,positive,"['well', 'guess', 'icymi', 'monday', 'sam', 'smith', 'share', 'inneresting', 'photo', 'tha']"
gay,positive,"['gonna', 'turn', 'gay', 'tomorrow']"
national ice cream day,positive,"['hey', 'know', 'national', 'ice', 'cream', 'day', 'sunday', 'july', 'make', 'sure', 'take', 'moment', 'enjoy', 'scoop', 'favorite', 'flavor']"
islam,positive,"['may', 'allah', 'give', 'eager', 'know', 'islam']"
bbc,positive,"['tv', 'reluctant', 'persuader', 'bbc', 'radio', 'tue', 'sep', 'pm', 'comedy', 'edward', 'rowett', 'set', 'hardacres', 'bad', 'advertising', 'agency', 'lon']"
dustin johnson,negative,"['r', 'handling', 'end', 'round', 'diabolical', 'watch', 'spieth', 'matsuyama', 'dustin', 'johnson', 'early', 'saturday', 'unfair']"
boko haram,negative,"['boko', 'haram', 'commander', 'arrest', 'raid', 'camp', 'bama', 'borno', 'state', 'yesterday', 'august']"
naruto,positive,"['time', 'binge', 'naruto', 'sun', 'leak', 'blind']"
david beckham,positive,"['regram', 'david', 'beckham', 'daughter', 'harper', 'happy', 'birthday', 'harper']"
big brother,positive,"['big', 'brother', 'cbs', 'sister', 'station', 'tomorrow', 'football', 'make', 'list', 'change']"
lexus,positive,"['future', 'finally', 'lexus', 'may', 'hoverboard', 'dream', 'video']"
ira,negative,"['shoot', 'kill', 'gift', 'ira', 'nothing', 'pre', 'bloody', 'sunday', 'lab', 'mp', 'know', 'get', 'new', 'job']"
seth rollins,positive,"['seth', 'rollins', 'go', 'house', 'show', 'beaumont', 'think', 'may', 'win', 'really', 'doubt', 'wwe', 'whc', 'house', 'show']"
kanye west,positive,"['like', 'career', 'goal', 'may', 'exactly', 'kanye', 'west', 'part']"
kendrick,positive,"['pretty', 'sad', 'first', 'time', 'hear', 'black', 'friday', 'kendrick']"
milan,negative,"['away', 'house', 'friday', 'moment', 'air', 'way', 'back', 'home', 'want', 'go', 'milan']"
joe biden,negative,"['joe', 'biden', 'presient', 'really', 'may', 'nice', 'guy', 'man', 'buffoon']"
nirvana,positive,"['nirvana', 'heaven', 'ancient', 'hindu', 'deity', 'come', 'earth', 'nirvana', 'planet', 'orion', 'really', 'call', 'procyon']"
zac brown band,positive,"['happy', 'thursday', 'morning', 'last', 'day', 'register', 'win', 'luke', 'bryan', 'ticket', 'zac', 'brown', 'band', 'win', 'em']"
milan,positive,"['italian', 'trip', 'restore', 'faith', 'love', 'passion', 'like', 'library', 'next', 'trip', 'sort', 'next', 'milan']"
ben affleck,positive,"['wooo', 'look', 'next', 'wednesday', 'wanna', 'see', 'ben', 'affleck']"
ac/dc,positive,"['leave', 'car', 'park', 'may', 'may', 'rock', 'ac', 'dc']"
obama,positive,"['day', 'duke', 'blue', 'devil', 'president', 'obama', 'open', 'day', 'week', 'tuesday', 'welcome', 'champi']"
jay-z,positive,"['song', 'cry', 'x', 'one', 'favorite', 'song', 'screw', 'one', 'dsd', 'matter', 'change', 'life', 'may', 'bring']"
zayn,positive,"['anyone', 'solo', 'dm', 'zayn', 'bc', 'dont', 'one', 'yet', 'since', 'march', 'ugh', 'pleaseee', 'one', 'solo', 'dm', 'ill', 'give', 'u', 'liam', 'solo', 'dm']"
messi,positive,"['alciato', 'bee', 'invest', 'million', 'january', 'another', 'summer', 'plan', 'bring', 'messi']"
sam smith,positive,"['someone', 'want', 'take', 'sam', 'smith', 'concert', 'october', 'even', 'mad']"
frank gifford,positive,"['miss', 'collide', 'helmet', 'abc', 'monday', 'night', 'football', 'use', 'plus', 'storytelling', 'element', 'frank', 'gifford', 'bob', 'costa']"
cate blanchett,positive,"['cate', 'blanchett', 'win', 'oscar', 'truth', 'check', 'acclaimed', 'performance', 'today', 'see']"
caitlyn jenner,positive,"['haha', 'thing', 'good', 'sir', 'tomorrow', 'caitlyn', 'jenner', 'woman', 'still', 'idiot']"
hannibal,positive,"['hannibal', 'remove', 'hand', 'forehead', 'temperature', 'back', 'sit', 'beside', 'young', 'man']"
kpop,positive,"['oh', 'maybe', 'pride', 'tomorrow', 'metro', 'rlly', 'wanna', 'go', 'asian', 'place', 'kpop', 'stuff']"
magic mike xxl,positive,"['say', 'pony', 'scene', 'magic', 'mike', 'xxl', 'may', 'fine', 'dancing']"
ant-man,negative,"['time', 'stay', 'marvel', 'post', 'credit', 'scene', 'film', 'one', 'big', 'teaser', 'need', 'see', 'another']"
ipod,positive,"['still', 'original', 'newfangled', 'ipod', 'maybe', 'bring', 'game', 'monday']"
shawn,positive,"['watch', 'clock', 'turn', 'midnight', 'sit', 'think', 'crazy', 'meet', 'shawn', 'exactly', 'year', 'ago']"
jason aldean,positive,"['jason', 'aldean', 'ticket', 'sell', 'friday', 'night', 'pair', 'taker']"
ihop,positive,"['legitimately', 'walk', 'ihop', 'get', 'menu', 'behind', 'host', 'stand', 'sit', 'hahaha']"
kendrick,positive,"['know', 'order', 'top', 'album', 'kendrick', 'weeknd', 'bieber', 'taylor', 'swift']"
israel,positive,"['may', 'god', 'people', 'israel', 'guide', 'protect', 'stand', 'israel']"
venice beach,positive,"['see', 'tomorrow', 'venice', 'beach']"
thor,positive,"['thursday', 'day', 'bring', 'bolt', 'breeze', 'squall', 'everything', 'handle', 'xx']"
prince george,positive,"['asdfghjkl', 'cute', 'happy', 'birthday', 'prince', 'george']"
calibraska,positive,"['fuck', 'yes', 'calibraska', 'tomorrow', 'hear', 'scream']"
muslims,negative,"['comment', 'tony', 'windsor', 'say', 'hop', 'muslim', 'would', 'kill', 'australian', 'citizen', 'need', 'complete', 'apol', 'aust']"
amy schumer,negative,"['people', 'like', 'amy', 'schumer', 'like', 'fat', 'like', 'ralphie', 'may', 'fat']"
shawn,positive,"['drop', 'king', 'kog', 'way', 'cx', 'practice', 'tomorrow', 'shawn', 'best']"
twilight,positive,"['bravely', 'second', 'end', 'feb', 'also', 'effect', 'march', 'probably', 'busy', 'twilight', 'princess', 'hd']"
paul dunne,positive,"['performance', 'far', 'galway', 'native', 'paul', 'dunne', 'good', 'luck', 'tomorrow']"
tom brady,negative,"['tom', 'brady', 'take', 'fake', 'apology', 'tear', 'lie', 'shuv', 'sun', 'shine', 'liar']"
yakub,negative,"['view', 'favour', 'yakub', 'usedby', 'prosecution', 'hit', 'n', 'run', 'case', 'tp', 'prove', 'law', 'abide', 'citizen', 'may', 'cost', 'dearly']"
naruto,positive,"['decide', 'watch', 'rick', 'morty', 'probably', 'watch', 'naruto', 'tomorrow', 'good', 'movie', 'hit', 'ya', 'right', 'feel']"
national hot dog day,positive,"['reminder', 'national', 'hot', 'dog', 'day', 'thursday', 'july', 'pm', 'village', 'green', 'grill', 'dog']"
kane,positive,"['harry', 'kane', 'may', 'noble', 'prince', 'score', 'goal', 'without', 'army', 'behind', 'aka', 'kane', 'always', 'alone', 'front', 'cmon', 'guy', 'ugh']"
dustin johnson,positive,"['saw', 'live', 'score', 'amaze', 'effort', 'dustin', 'johnson', 'back', 'place', 'surprising', 'tiger']"
amazon prime day,positive,"['woohooo', 'release', 'list', 'sneak', 'peek', 'deal', 'amazon', 'prime', 'day', 'tomorrow', 'cheap', 'nikon', 'camera']"
curtis,positive,"['wait', 'curtis', 'keep', 'thing', 'hope', 'get', 'tour', 'uk']"
nicki,positive,"['watch', 'red', 'carpet', 'nicki', 'mostly', 'gonna', 'air', 'show', 'tomorrow', 'night', 'might', 'go', 'bed']"
tsipras,positive,"['tsipras', 'say', 'september', 'election', 'provide', 'party', 'strong', 'mandate', 'form', 'majority', 'government']"
kris bryant,negative,"['kris', 'bryant', 'tall', 'play', 'base']"
taylor swift,positive,"['bart', 'de', 'brandt', 'resplendent', 'taylor', 'swift', 'image', 'may', 'want', 'check']"
nokia,positive,"['omg', 'birthday', 'nokia', 'one', 'sigh', 'charge', 'battery', 'weekly']"
sarah palin,negative,"['fantastic', 'sarah', 'palin', 'demand', 'migrant', 'usa', 'speak', 'american', 'make', 'stuff']"
national hot dog day,positive,"['national', 'hot', 'dog', 'day', 'thursday', 'come', 'muthas']"
frank gifford,positive,"['frank', 'gifford', 'golden', 'boy', 'help', 'usher', 'nfl', 'golden', 'age', 'die', 'sunday', 'exactly', 'week', 'shy']"
chris brown,positive,"['work', 'yesterday', 'chris', 'brown', 'concert', 'work', 'today', 'get', 'full', 'day', 'tomorrow', 'im', 'ready', 'another', 'cruise']"
fleetwood mac,positive,"['sat', 'garden', 'listening', 'fleetwood', 'mac', 'live', 'dream']"
murray,positive,"['set', 'point', 'game', 'challenge', 'call', 'anderson', 'set', 'murray', 'much', 'promising', 'end', 'yet']"
briana,negative,"['briana', 'allow', 'smoke', 'allow', 'take', 'photo', 'fan', 'may', 'affect', 'baby', 'okay']"
kanye west,positive,"['like', 'video', 'nicki', 'minaj', 'blazin', 'ft', 'kanye', 'west', 'lyric', 'pink', 'friday']"
paul mccartney,positive,"['presence', 'paul', 'mccartney', 'tomorrow', 'night', 'hear', 'guy', 'rip', 'skull', 'downtown', 'chicago']"
pope,positive,"['pope', 'rsvpd', 'take', 'selfie', 'pope', 'fall', 'social', 'monday']"
bad blood,positive,"['jess', 'glynne', 'song', 'call', 'bad', 'blood', 'new', 'album', 'see', 'november', 'hope', 'bb', 'bb', 'remix']"
oracle,positive,"['plz', 'halp', 'need', 'see', 'weeknd', 'oracle', 'december']"
abc,positive,"['may', 'simply', 'best', 'night', 'week', 'great', 'cast', 'story', 'performance', 'music', 'tie', 'together']"
shawn,positive,"['bless', 'able', 'reunite', 'nash', 'see', 'boy', 'past', 'weekend', 'get', 'see', 'shawn', 'live', 'time']"
tom brady,negative,"['roger', 'goodell', 'job', 'tom', 'brady', 'suspend', 'game', 'patriot', 'forfeit', 'game', 'play']"
gucci,positive,"['fam', 'hit', 'really', 'dope', 'look', 'upcoming', 'gucci', 'foamposite', 'pro', 'available', 'friday']"
ahs,negative,"['wow', 'season', 'ahs', 'like', 'good']"
naruto,positive,"['thursday', 'already', 'try', 'watch', 'new', 'naruto', 'episode']"
george osborne,negative,"['bumpy', 'road', 'george', 'osborne', 'uk', 'help', 'brigding', 'loan', 'greece', 'accord', 'guardian']"
gucci,negative,"['gucci', 'plurality', 'psychic', 'apparatus', 'unfearfulness', 'august', 'sufflate', 'span', 'thine', 'joker', 'goodwill', 'accumulation']"
messi,positive,"['time', 'ronaldo', 'messi', 'plus', 'cheeky', 'hazard', 'bench']"
tom brady,positive,"['take', 'high', 'road', 'tom', 'brady', 'say', 'roger', 'goodell', 'sunday', 'smart', 'brady']"
calibraska,positive,"['excite', 'august', 'chicago', 'show', 'hear', 'calibraska', 'live', 'oh', 'goodness']"
frank gifford,positive,"['frank', 'gifford', 'still', 'history', 'rush', 'yds', 'receive', 'yds', 'also', 'td', 'pass']"
pride parade,positive,"['embrace', 'community', 'diversity', 'unity', 'pride', 'parade', 'celebrate', 'existence', 'year', 'sunday']"
lady gaga,positive,"['babe', 'vote', 'gaga', 'put', 'miss', 'day', 'till', 'end', 'lady', 'gaga']"
birthday cake,positive,"['two', 'birthday', 'cake', 'one', 'jelly', 'bean', 'wonder', 'kind', 'birthday', 'cake', 'one', 'goodnight', 'kina', 'emi', 'misa']"
thor,positive,"['skye', 'mind', 'get', 'human', 'hand', 'thor', 'dreamy', 'coulson', 'sure', 'handsome', 'may', 'interrupt', 'dreamy']"
boko haram,negative,"['child', 'roast', 'death', 'boko', 'haram', 'attack', 'cameroonian', 'village', 'boko', 'haram', 'member', 'yesterday', 'july', 'attack', 'borde']"
birthday cake,positive,"['birthday', 'cake', 'gonna', 'song', 'lead', 'u', 'quarter', 'count']"
seinfeld,positive,"['watch', 'episode', 'seinfeld', 'till', 'work', 'fuck', 'shift']"
tiger woods,positive,"['aug', 'greensboro', 'nc', 'usa', 'tiger', 'wood', 'putt', 'green', 'third', 'round']"
amy schumer,positive,"['really', 'excite', 'comedy', 'fill', 'day', 'tomorrow', 'amy', 'schumer', 'live', 'john', 'mulaney', 'netflix', 'thank', 'america']"
milan,positive,"['part', 'dluxe', 'team', 'milan', 'tomorrow', 'feel', 'free', 'throw', 'recommendation', 'u', 'thing']"
charlie hebdo,positive,"['charlie', 'hebdo', 'parisian', 'tomorrow', 'may', 'identify', 'others', 'must', 'intimidate']"
david bowie,positive,"['think', 'david', 'bowie', 'much', 'today', 'tomorrow', 'different', 'promise']"
democrats,negative,"['today', 'rare', 'day', 'democrat', 'get', 'healthy', 'club', 'growth', 'scorecard', 'republican']"
tom brady,positive,"['one', 'espn', 'get', 'play', 'like', 'fiddle', 'nfl', 'attempt', 'tarnish', 'tom', 'legacy']"
cate blanchett,positive,"['cate', 'blanchett', 'marvel', 'universe', 'oh', 'would', 'love']"
star wars day,positive,"['day', 'spirit', 'week', 'leave', 'tomorrow', 'preparation', 'new', 'movie', 'star', 'war', 'day']"
national hot dog day,positive,"['get', 'free', 'hot', 'dog', 'tomorrow', 'national', 'hot', 'dog', 'day', 'via']"
venice beach,positive,"['oh', 'sun', 'make', 'happy', 'venice', 'beach']"
janet jackson,positive,"['could', 'win', 'ticket', 'see', 'janet', 'jackson', 'bankerslife', 'fieldhouse', 'nov', 'txt', 'missjanet']"
tory,negative,"['point', 'ask', 'humanity', 'tory', 'pretty', 'sure', 'replicants', 'create', 'nazi', 'wwii', 'especially', 'theresa', 'may']"
foo fighters,positive,"['wait', 'see', 'foo', 'fighter', 'next', 'sunday', 'royal', 'blood', 'support', 'insane']"
janet jackson,positive,"['talk', 'janet', 'jackson', 'wait', 'see', 'february']"
star wars,positive,"['december', 'best', 'two', 'consecutive', 'day', 'ever', 'nxt', 'takeover', 'live', 'london', 'star', 'war']"
star wars day,positive,"['probably', 'star', 'war', 'day', 'u']"
yoga,positive,"['yoga', 'age', 'gently', 'start', 'tomorrow', 'mature', 'wise', 'teacher', 'age', 'gracefully', 'allow', 'u']"
angela merkel,positive,"['syrian', 'graduate', 'perhaps', 'angela', 'decision', 'humanitarian']"
federer,positive,"['federer', 'straight', 'round', 'u', 'open', 'two', 'win', 'walkover']"
kanye west,positive,"['kanye', 'west', 'become', 'rapper', 'ever', 'cover', 'new', 'yorker', 'magazine', 'something', 'look', 'bit']"
dunkin,positive,"['dunkin', 'love', 'life', 'tomorrow']"
joe biden,positive,"['joe', 'biden', 'drop', 'hint', 'next', 'move', 'teacher', 'donate', 'kidney', 'grade', 'student']"
david cameron,positive,"['david', 'cameron', 'consider', 'take', 'syrian', 'refugee', 'un', 'camp', 'make', 'sense', 'may', 'stop', 'mass', 'pay', 'trafficker', 'trade', 'misery']"
ric flair,positive,"['guess', 'lot', 'bear', 'crawling', 'sleep', 'good', 'early', 'tomorrow', 'night', 'fca', 'camp', 'wooo', 'ric', 'flair']"
snoop dogg,positive,"['go', 'see', 'snoop', 'dogg', 'aka', 'dj', 'snoopadelic', 'dj', 'tomorrow', 'sankeys', 'matter']"
gay,positive,"['also', 'disturb', 'hick', 'moron', 'clerk', 'idea', 'federal', 'law', 'supersedes', 'state', 'law', 'gay', 'couple', 'admnt', 'right']"
michelle obama,positive,"['ugh', 'michelle', 'obama', 'select', 'best', 'dressed', 'woman', 'sunday', 'time', 'time']"
eid,positive,"['good', 'morning', 'everyone', 'remember', 'catch', 'great', 'deal', 'offer', 'eid', 'extend', 'thursday']"
zac brown band,positive,"['go', 'zac', 'brown', 'band', 'sunday']"
kanye west,positive,"['really', 'look', 'forward', 'add', 'kanye', 'west', 'wall', 'presidential', 'candidate', 'office', 'tomorrow']"
paper towns,negative,"['see', 'one', 'tweet', 'paper', 'town', 'tomorrow', 'go', 'lose', 'shit', 'fuck', 'get']"
saudi arabia,negative,"['excuse', 'cameron', 'dirty', 'deal', 'saudi', 'arabia', 'may', 'remind']"
frank gifford,positive,"['sad', 'frank', 'gifford', 'die', 'today', 'turn', 'light', 'party', 'remember', 'monday']"
iron maiden,positive,"['big', 'day', 'friday', 'brand', 'new', 'double', 'iron', 'maiden', 'cd']"
ted 2,positive,"['inside', 'may', 'favorite', 'spy', 'ted', 'want', 'see', 'terminator', 'inside', 'fantastic']"
eid,positive,"['message', 'dear', 'female', 'friend', 'look', 'pretty', 'hell', 'eid', 'may', 'remain', 'pretty']"
thor,positive,"['win', 'tomorrow', 'get', 'another', 'shot', 'game', 'set', 'harvery', 'degrom', 'thor']"
kendrick,positive,"['kendrick', 'end', 'black', 'friday', 'crack', 'every', 'time']"
curtis,negative,"['really', 'hard', 'time', 'processing', 'connor', 'howell', 'sit', 'curtis', 'side', 'game', 'last', 'night']"
ice cube,positive,"['one', 'thing', 'though', 'show', 'ice', 'cube', 'wire', 'script', 'friday', 'inspire', 'hell', 'lot', 'tomorrow']"
eric church,positive,"['may', 'know', 'famous', 'country', 'star', 'eric', 'church', 'knife', 'salesman', 'talk']"
paper towns,positive,"['tuesday', 'im', 'go', 'see', 'paper', 'town', 'friend', 'im', 'actually', 'excited']"
briana,positive,"['sorry', 'hear', 'thing', 'change', 'feb', 'lemme', 'know', 'buy', 'coffee', 'squee', 'kim', 'briana', 'lol']"
gilmore girls,negative,"['tonight', 'may', 'night', 'finally', 'expose', 'gilmore', 'girl', 'hysteria']"
nicki,positive,"['wait', 'see', 'nicki', 'tomorrow']"
curtis,positive,"['throw', 'may', 'listen', 'gangsta', 'shit', 'im', 'room', 'last', 'poet', 'war', 'gil', 'scott', 'curtis']"
ps4,positive,"['may', 'play', 'hour', 'still', 'blast', 'one', 'day', 'revisit', 'truly', 'admire', 'visuals']"
gay,positive,"['week', 'run', 'go', 'tonight', 'hahaha', 'gay', 'night', 'good']"
kris bryant,positive,"['go', 'cubs', 'lead', 'thanks', 'kris', 'two', 'run', 'home']"
naruto,positive,"['scene', 'season', 'naruto', 'sasuke', 'say', 'laugh', 'hard', 'every', 'time']"
national hot dog day,positive,"['today', 'national', 'hot', 'dog', 'day', 'feel', 'since', 'also', 'thursday', 'chili', 'cheese', 'hot', 'dog', 'pizza']"
calibraska,positive,"['tomorrow', 'calibraska', 'come', 'everyone', 'go', 'get', 'make', 'go', 'number']"
milan,positive,"['thanks', 'milan', 'city', 'beautiful', 'happy', 'sunday']"
nokia,positive,"['big', 'fan', 'since', 'early', 'use', 'nokia', 'still', 'use', 'easy', 'use', 'affordable']"
watchman,positive,"['best', 'email', 'day', 'amazon', 'inform', 'copy', 'go', 'set', 'watchman', 'tomorrow', 'yay', 'day', 'earlier', 'literary', 'heaven']"
chris evans,positive,"['fell', 'love', 'chris', 'evans', 'wanna', 'download', 'movie', 'tomorrow']"
paper towns,positive,"['summer', 'wild', 'highlight', 'go', 'see', 'paper', 'town', 'tomorrow']"
afolayan,positive,"['see', 'october', 'kunle', 'afolayan', 'deliver', 'arguably', 'best', 'film', 'nollywood', 'yet']"
national ice cream day,positive,"['mom', 'go', 'national', 'ice', 'cream', 'day', 'school', 'start', 'tomorrow', 'dinner']"
serena,positive,"['happy', 'serena', 'want', 'win', 'g', 'tie', 'steffi', 'win', 'cygs']"
sting,positive,"['breaking', 'announce', 'sting', 'open', 'edition', 'est']"
david bowie,positive,"['saturday', 'night', 'david', 'bowie', 'motley', 'crue', 'christopher', 'cross', 'obviously', 'awesome']"
national ice cream day,positive,"['celebrate', 'day', 'lead', 'national', 'ice', 'cream', 'day', 'july', 'eat', 'ice', 'cream']"
brock lesnar,positive,"['long', 'triple', 'h', 'john', 'cena', 'brock', 'lesnar', 'still', 'wwe', 'get', 'shame', 'watch', 'occasional', 'monday', 'night', 'raw']"
white sox,positive,"['white', 'sox', 'win', 'challenge', 'alexei', 'ramirez', 'rule', 'safe', 'second', 'upon', 'review', 'sanchez']"
teen wolf,positive,"['friday', 'night', 'light', 'make', 'cry', 'teen', 'wolf', 'overcome', 'life']"
rousey,positive,"['say', 'immediately', 'fight', 'saturday', 'behind', 'rousey', 'point', 'envy']"
ant-man,positive,"['think', 'number', 'people', 'may', 'discover', 'cure', 'make', 'happy']"
moto g,positive,"['able', 'find', 'moto', 'g', 'gen', 'gb', 'website', 'stock', 'hope', 'hear', 'back', 'soon']"
grateful dead,positive,"['gonna', 'play', 'grateful', 'dead', 'excited', 'would', 'love', 'try', 'play', 'mayer', 'may']"
iron maiden,positive,"['excellent', 'gig', 'friday', 'pantera', 'iron', 'maiden', 'tribute', 'band', 'time', 'wish', 'hair', 'head', 'bang']"
jason aldean,positive,"['kinda', 'upset', 'gunna', 'miss', 'fight', 'saturday', 'kenney', 'chesney', 'jason', 'aldean', 'blast']"
yoga,positive,"['go', 'yoga', 'every', 'sunday', 'morning', 'buddha', 'mind', 'monastery', 'free', 'open', 'public']"
caitlyn jenner,negative,"['trend', 'topic', 'caitlyn', 'jenner', 'may', 'face', 'manslaughter', 'charge', 'cannot', 'make', 'stuff']"
ios,positive,"['link', 'work', 'fine', 'ios', 'device', 'time', 'first', 'click', 'get', 'open', 'safari', 'cancel', 'click', 'work']"
frank ocean,positive,"['frank', 'ocean', 'drop', 'first', 'part', 'boy', 'cry', 'tomorrow', 'well']"
briana,negative,"['friend', 'briana', 'say', 'louis', 'may', 'dad', 'also', 'hook', 'guy', 'time']"
the horn,positive,"['well', 'beautiful', 'people', 'actual', 'album', 'full', 'glory', 'arrive', 'today', 'ready', 'tomorrow', 'horn', 'thanks', 'guy', 'rock']"
kendrick,positive,"['live', 'as', 'kendrick', 'concert', 'boy', 'harper', 'lastnight', 'live', 'as', 'rocket', 'game', 'boy', 'woodley', 'saturday', 'ns', 'weekend', 'great']"
michael jackson,positive,"['mojo', 'classic', 'michael', 'jackson', 'make', 'thursday', 'well']"
janet jackson,positive,"['one', 'thing', 'guarantee', 'monday', 'janet', 'jackson', 'worship', 'always']"
dunkin,positive,"['go', 'dunkin', 'donut', 'time']"
kanye west,negative,"['world', 'kanye', 'west', 'president', 'miley', 'cyrus', 'perform', 'song', 'say', 'smoke', 'pot', 'love', 'peace', 'may', 'well', 'kill']"
janet jackson,positive,"['janet', 'jackson', 'pay', 'tribute', 'aaliyah', 'anniversary', 'death', 'photo']"
david bowie,positive,"['soundtrack', 'weekend', 'david', 'bowie', 'man', 'sell', 'world', 'september']"
ibm,positive,"['try', 'lab', 'series', 'ibm', 'platform']"
toyota,positive,"['arusha', 'annual', 'toyota', 'cocktail', 'dinner', 'hrc', 'look', 'forward', 'see', 'old', 'friend', 'toyota', 'customer']"
gucci,positive,"['find', 'gucci', 'come', 'movie', 'october', 'make', 'twittta']"
paul dunne,positive,"['paul', 'dunne', 'appear', 'monday', 'place', 'top', 'trend']"
harper,negative,"['trudeau', 'may', 'good', 'attack', 'ndp', 'need', 'waste', 'time', 'harper', 'medium', 'anti', 'harper', 'narrative']"
zlatan,positive,"['would', 'love', 'cavani', 'man', 'shawdowed', 'play', 'fiddle', 'zlatan', 'would', 'shine', 'arsenal']"
mikasa,positive,"['yes', 'love', 'brand', 'mikasa', 'one', 'levi', 'one', 'come', 'bb', 'one', 'yet', 'though', 'may', 'get']"
naruto,positive,"['rating', 'speak', 'naruto', 'one', 'piece', 'bad', 'though', 'good', 'usually', 'somehow']"
