label,tweet
positive,taylor swift is coming with ed sheeran june 29th? most perf news i've heard all night.
positive,The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we're 4th row center. Plenty of room. Pretty fired up
neutral,"@lala_cox There are going to be plenty of ups &amp; downs for Boro,Cardiff,Leicester etc until May.I hope we are still in with a shout for promo"
negative,"@joeeewilliams that sucks, amazon might have some left .. hate that i won't have it until 11am on Tuesday though"
neutral,"Playing as the Browns HC K. Fri in #Madden13, XFacalac lost to the Ravens 21-28 on All-Madden #ConnectedCareers"
negative,@rosanne_89 Nooooooooo rosanne! They've just restocked them and me going overseas Sunday means I can't afford them :'(
neutral,The pain is far deeper than a Billy cundiff missed field goal. Gotta wake up and forget about it tomorrow. #Orioles #stayhungry
positive,@grandvincenzo on November 16 be ready to head to the movies. Breaking Dawn: Part 2. (;
neutral,"after seeing @Iam_FaithReid's tweet about watching The Vow, I think I may need to watch it."
positive,"@jbmclendon And the same station that will air new episodes of COUGAR TOWN in January! @tbsveryfunny has been good to us, Jordan. #PennyCan"
neutral,Alex Poythress had 11 points and 7 rebounds in his debut with Kentucky during an exhibition game on Thursday. He played 28 minutes.
neutral,If I can get my equipment working correctly we will have a live show on Friday at 6 pm CST with contactee Ray... http://t.co/9LVKwcYJ
positive,Amazing concert tonight with Jim White and the TCU Jazz Ensemble/Faculty Jazz Combo!  Don't miss tomorrow night... http://t.co/i9asnsET
neutral,"#Nationals 9th Inning had that ""4th Quarter #Redskins"" feel, didn't it?  Coulda swore I saw Cundiff shank one from the mound."
positive,Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to... http://t.co/EFc5Cfng
neutral,JACKALS GOAL! Jimmy Martin sneaks a rebound past Killeen to give Elmira a 2-1 lead. Bushee &amp; Bellamy with the assists.1:09 left 2nd period
positive,Kick-off your weekend with service! EV!'s Get on the Bus trip to the Boys &amp; Girls Club is Friday from 3-6! Hope to see you there :)
positive,"@nater0driguez Lmfao alright u got me there. Good job Parker and the spurs, see y'all jan 9th. If I get an extra ticket to that game ur goin"
neutral,@SunnyClifford We have a similar circumstance in Australia. Jan 25 is Australia Day &amp; many First peoples call it Invasion Day.
neutral,paul-and5homos: Harry and Louis are just fri- Eleanor is such an inspira- Harry is such a manwho- Louis is... http://t.co/jxxTNlu6
neutral,"#web Apple software, retail chiefs out in overhaul: SAN FRANCISCO (Reuters) - Apple Inc CEO Tim Cook on Monday replaced the heads of ..."
negative,@PaperChasinAL: Damn next Saturday tho Niggas was trynna get shit over with #early
neutral,and the 4th one is for Harry Styles!! &lt;33333
neutral,The Business Leader's Award ceremony will be held during the @wef annual meeting in Davos on the  25 January 2013! http://t.co/YI4r8UFM
neutral,@Jordon_Atkins me you and joe gone chill Saturday of i come tho
negative,"Obma fails 2unite us, he divides us by sex, color,party,age, wealth Nevada's 1st Latino governor votes early for Romney, predicts GOP win"
positive,Grammys concert pays moving tribute to Whitney Houston: Whitney Houston was given a final sendoff by the Grammys on Thursday as Halle...
neutral,It's Radio 1 Rocks next -  week starting off with a Live lounge on @fearnecotton's show with Bullet for my Valentine on Monday
positive,Drew Peterson is #Untouchable no more! Check out these movie photos before you watch on Sun at 7/6c: http://t.co/LT9WUkOD
neutral,@HotspurRelated im just a 19 year old still on loan for the 3rd time at coventry 79 overall hopefully when i return bale will still be ther
positive,PUMPED to open the season tomorrow night against Georgetown!  Women's Preview: http://t.co/1k3PAK3C | Men's Preview: http://t.co/n5oFat9V
negative,Just found a piece of candy that may have been injected with something. #Why
neutral,Apple shakeup Mobile software boss eased out: Apple Inc. CEO Tim Cook on Monday pushed out the powerful head of the company&amp;#039;s mo...
neutral,"Somehow I managed to ""lose"" my princess leia bra on Saturday. I'm going to Noel Gallagher as ""Glock at Phish"" ie jorts&amp;tank. @custymcnoob"
neutral,"@docbungle I may relent and get one myself, but I hope it doesn't come to that. Hopefully all the decent apps will get ported to android"
neutral,"Android 4.2 Camera app with Photo Sphere now available for Galaxy Nexus: Introduced on Monday, Android 4.2 bring... http://t.co/yl8QQP0R"
positive,"SAEED: #NowPlaying: BEP, Ricky Martin and KT Tunstall! Great songs to get you through your Sunday! Hate the rain!! http://t.co/c9PmolGw"
neutral,"@juliecrawley25. @GininjaDesign. @Donna_Butlin. Nope, it's just Camden, eating Greek food with a pumpkin... Just another Wednesday."
neutral,"FAQ: What is 'skeuomorphic design' and the executive shakeup at Apple: SAN FRANCISCO, CA - MARCH 07:  Apple CEO ... http://t.co/YCvoPl98"
neutral,Fact of the day; Halloween night is Papa John's second busiest night of the year behind Super Bowl Sunday.
positive,Omg. Ricky Martin may be gay but he is one fine ass gay man.
neutral,Vow is likely to return from a midsummer break in the Prix de Royallieu at Longchamp on Saturday. http://t.co/FmoCg7YK
positive,"@HOPE_forHippies Hell yea lmfaoo , &amp; see you tomorrow Asia baby (;"
neutral,@Real_Liam_Payne I wanted you to know that here in Argentina is going to make a directioner fest 10 November te Amo TE AMO te amo!
neutral,"Its November already.. Christmas will be here soon, then New Year, then Valentine's day then GRADUATION?!?!"
positive,#NowPlaying Michael Jackson - She's Out of My Life (Live At Wembley July 16. http://t.co/vxRYuADn L.O.V.E it! #MjTunes
negative,Niggas be on the LAKERS DICK...we still gon finish damn near first seed...while yo team be struggling for the 8th spot
positive,"@RediTlhabi @StevenB7777 OCTOBER  people have principles..&amp; argue passionately for them, about them &amp; ACT on them.  Ghandi, Sadat, ADT, me!"
neutral,I need another Viv necklace... May buy myself one for Valentines day #nojoke
positive,"I'm in the bathroom bumping ""Niggas In Paris"" Crunk ass hell like it's my 1st time hearing it this song will never get old lol"
neutral,"Just got tickets to see Muse in Florida. That, combined with the Grammys two weeks prior, equals a really busy February for Ruby and myself."
neutral,Battle for the 17th banner: Royal Rumble basketball edition
positive,"4th Album out #RED, #20MillionSwifties, 6 Grammy Awards, 10 AMAs, 13 BMI Awards! Reigning Entertainer of the Year ACM!  #6YearsTaylorSwift"
neutral,"Smooches from Fido: Yea or Nay? - July 6th was International Kissing Day (of the human sort). Later in the month, Ca... http://t.co/ctBrbIFt"
positive,It's midnight on the east coast which means its @nickjonas birthday! HAPPY 20th BIRTHDAY NICK J!!!!!!!!!! &lt;333
negative,Apple CEO apologizes for error-ridden new map app: Apple CEO Tim Cook apologized Friday for the company's error-ridden new mobile map...
neutral,Monta Ellis / Ellis provided just five points on 2-of-13 shooting Thursday http://t.co/AErfHHuK #nba #playersnews
neutral,"When I teach a basketball in my own school, we're gonna spend the 1st day watching Larry Bird videos, &amp; the rest will take care of itself."
neutral,AT&amp;T offers free cloud storage for iOS and Android AT&amp;T on Thursday announced a new service it calls AT&amp;T Locker th... http://t.co/7yoVkmMX
positive,We are here @NBCofChicago for our 12th Anniversary celebration.  You still have time to make it - 6620 S. King Dr
neutral,@KarimAndSugar I told you Shane would get his 5th-star on Rivals before Signing Day. @Taylor_McNeill7
neutral,@mysticvalley Mitch are you free on Sunday to bale leaves for an hour?  If not no big deal  you can have them for animals
positive,Love how I skipped every category of the NTA's besides the soaps. Couldn't give half a fuck if everything else went off the air tomorrow.
neutral,New York Giants: Game-by-Game Predictions for the 2nd Half of the Season http://t.co/yK9VTjcs
neutral,C'mon c'mon does sound like Queen's we will rock you somehow...
neutral,Pick the Chelsea team to play Swansea - Chelsea's focus now turns back to the Premier League and on Saturday we make... http://t.co/6Az8JiIz
neutral,@MarkUkLeaf I just had a look and it seems Nash to Davos is a done deal along with Joe Thornton. I may have to pay a visit...
negative,Esperance will be without star player Youssef Msakni for the first leg of the Champions League final against Al Ahly on Saturday. #AFRICA
negative,@chrischris__  The Sun: Paolo Di Canio says beating Aston Villa tonight would be like having sex with Madonna. #legend
negative,"OBVIOUSLY, i am not a fan of Dream High 2 and i haven't even watched it! well, i watched the 1st ep,that's where i heard that song!^^"
positive,"Black History Fact: Marsalis is the 1st and only artist to win both classical and jazz Grammy Awards in one year, and to repeat the next yr"
positive,Watching David Letterman with no audience but playing like they are still there is the 2nd most brilliant thing I've seen tonight.
neutral,Gov. Mitch Daniels will announce his Indiana Supreme Court pick at 10 a.m. Will the 3rd time be the charm for a female member of the panel?
neutral,HT: Norwich 0-0 #Spurs. We've edged the 1st half without creating any clear cut chances. Bale's had a couple of decent long range efforts.
positive,Breezin' won the Best Pop Instrumental Performance at the 19th Grammy Awards
neutral,Snow may fall for parts of CNY the next few days. Find out where the best chances will be at 6:42 am on TV &amp; online: http://t.co/F0Kb0gqD
neutral,Cofield draws leadoff walk in top 4th. Zaharion at the plate.
neutral,"@BieberGomezTour aww my celebrity day is this thursday also, going as Jennifer Hudson though :)"
neutral,Sat down to watch Michael Jackson this is it on DVD xx
neutral,"On the set of the Axis of the Nigerian Economy, airing every tuesday 8:30pm on NTA international (DSTV) http://t.co/qFvON8Uj"
negative,Upset alert in ACC men's soccer: #1 Maryland down 4-2 to Wake Forest late in the 2nd...AND down a man after an earlier red card.
negative,really bored of this host on Super Sunday doing nothing but talk and rave about Man Utd #BiasPrick
positive,Looper was amazing!!! Now to the theatre to see Simon Callow's 'The Mystery of Charles Dickens' ...loving my Wednesday off work :-)
neutral,"Negros and nigglettes, all who would like to attend the a$ap rocky concert on  November 17th at starland lemme know tickets are only 25"
positive,"Wish Maddie luck next saturday, she has a solo audition for Britain's Got Talent! :) ~ Ellie xxxxx"
neutral,% of Joe Pa masks at Penn State Sat? Or will PSU by allow then in the stadium? Is it bad to wear it? @Espngreeny
negative,@MeganWitmer that's crazy. I'm more jealous of u going to Joe Pa's grave! I was sad Saturday when I walked past where the statue should be:(
positive,"Mizzou commemorates its win over Kentucky with a T-shirt. No, really. | Dr. Saturday - Yahoo! Sports http://t.co/2u46BvQ6 #fb"
positive,Happy Valentine's Day!!! @MAziing: Everyday is the 14th!
neutral,@xBecx92 it may be Indian time tonite Becky :-) xx
positive,Just watched The Campaign with Will Ferrell and Zack Galafianakis... Good fun for a Wednesday. #Hilarious
neutral,@sumeetkulkarni Season ends with Superbowl in first week of February.
neutral,Crazy I was in a meeting with an old NBA player that was picked 3rd before Larry Bird
neutral,"@Ilovedoobz: @Patty_flipping I did, the other new is in today, northern lights...... I get payed tomorrow!"
neutral,"Just finished rehearsing with @DWHY - we are ready for the Kendrick Lamar show tomorrow, shout outs to WVU... http://t.co/d76r8YZH"
neutral,"I posted 12 photos on Facebook in the album ""Super Sunday wid Shobhit Bhatia......"" http://t.co/9DYtiAxO"
neutral,"##$$## Black Friday Deals Nikon D3200 24.2 Megapixels Digital SLR Camera with 18-55mm NIKKOR VR Lens, Black &amp; Nikon ... http://t.co/NPMjK8UC"
positive,"Han mon dieu le remix de I am the best dans Dream High 2, je meurs XDDD"
neutral,"You do not want to miss this tomorrow night.  RJ is moving to Maryland soon, and we have a truly epic set planned... http://t.co/NItJIA5v"
neutral,Don't forget Mitch Daniels is going to be on Steven Colbert's show Thursday.  Think this will come up as a topic?
neutral,@BarackObama: I would think you would do that if you are running for POTUS. It may be part of your job someday.
neutral,@kdbowe But how you gon handle it if you are announcing ON SUPER BOWL SUNDAY?!! You might put that gold back in yo grill.
neutral,@Dapper_Dan1988 I have plans to go to CVS before work today and get something.  That may be what I get. I'm going to quarantine myself today
neutral,iPhone 5: Apple CEO pledges to improve new map app: Apple CEO Tim Cook apologized on Friday for the company's er... http://t.co/7dzvgXNz
neutral,"Full Moon:Oct 29th. You can read more if you have your Sun Sign in Libra, Scorpio, Sag, Cap, Aqua or Pisces http://t.co/HNgb7Qn3"
neutral,"Drew Peterson may be convicted, but there is still conflict going on http://t.co/lmqKV7XZ #whenwillitend #localnews #chicago"
neutral,@WFAN660 Paterno wouldnt be charged. All hearsay on him and he did do his job (minimal as may be). He reported it. Rest is speculation.
negative,"With all Benson's attention, Frankie feels like a forgotten stepchild. Lets 'founding father' him so he know we will never forget 2nd place."
negative,"Police, protesters clash at Republic Day march in Turkey: On a day marking the 89th anniversary of the founding ... http://t.co/xewokaIE"
positive,I will be participating in a Google+ Hangout with @TheEconomist tomorrow!  I'm SUPER excited! Check it out: https://t.co/jvmZcqBa
negative,@buckbelue8 why do you think Murray may leave? No way a team drafts him before the 5th or 6th round!
positive,"Aww love you Austin Rivers and happy to see you get start in 1st NBA game...but it's against my boys, LETS GO SPURS! #Spurs #NBA"
positive,@TeamStradley mines personal thinking Tebow is better then Flacco. I don't care how bad he played Sunday
positive,@OilOnWhyte @albertaoilfire another center? Gagner is a good cheap 2nd line option that we can afford and keep the kids.
negative,@politicalwire I'm still shaking my head at that decision and that the Heat &amp; Knick are actually playing tomorrow at MSG.
negative,"the glass may be rising, but it's not getting any warmer here, Lago del Desierto, Argentina http://t.co/Hp4S2M5G"
positive,Wish I could make that trip to Athens on Tuesday @iCaptainMorgan
neutral,"Apple software, retail chiefs out in overhaul: SAN FRANCISCO (Reuters) - Apple Inc CEO Tim Cook on Monday pushed out the powerful hea..."
neutral,I'm hosting the Day party @ Spartacus Friday From 2-6 and then @ Spy in Raleigh that night!
neutral,Eli Manning hopes the Giants can uplift the spirits of the millions affected by Sandy in NY with their game against the Steelers on Sunday
neutral,@_AllBelongs2Me_ the McCormick Place....rite here by the hyatt hotel on like 23rd nd King Dr.
positive,"Fabio Capello: ""From what I've seen these days I can assure you Russia are capable of getting a good result vs Portugal tomorrow"". #cantwait"
neutral,@bbberb not necessarily. In Nevada it may help Obama because its one less vote for Romney. But I know what you mean hah.
neutral,"@_Sherwood12 he's on the plane to Amsterdam now, bet he's not in class tomorrow"
positive,@_bethanygarland I really wanna go to one of his things! Did you watch his new thing on channel 4 last Friday? xx
negative,I -may- be the only girl on the face of the earth that DOESN'T find Channing Tatum attractive. #callmecrazy #justsayin #donthateme
positive,"Obama may have been better off staying put, personally I'm glad he's back on the trail- he's helping move people to Mitt!"
neutral,"Cold pizza and Mass Effect 3. I want my leg healed!! Going to look up some voodoo shit. I'll be walking, jumping and running tomorrow."
positive,"Remember Cupid at Convo last year with the bomb candy bar?? If you liked that, you'll LOVE next Tuesday's Tr http://t.co/af9hu4pU"
neutral,Channing tatum will be in white oak tomorrow...for all you stalkers out there
neutral,@Brett_Elliott8 I fly that Saturday the 15th from Detroit to Amsterdam then up to Newcastle
neutral,#hulu Video Game Trailers - Launch Trailer: Check out the launch trailer for Mass Effect 3. Added: Fri Oct 26 00... http://t.co/XsbCPkVe
positive,@Pastorjoshg @corylethgo @KevinCabe @kcabe21 I'd watch Cougar Town over this any day! January 8 on TBS. Very funny. #firedooley
neutral,Of course it's Aston Villa.  Played them off the park on Saturday.  Bring it on!
negative,Give me 5 mins with Candy the dancer from Deja Vu I'm nutting on my 4th pump she that bad lol
positive,"@heeydems Do you know ?they may not but we're so fond of all the countries . Uh,happy Republic Day ."
positive,"Thank you snow for cancelling classes today. Now you may stop snowing, so that I can drive to Chapel Hill tomorrow. I'd really appreciate it"
positive,Chick in my class said Flacco is the best QB in the league. 1- why is a chick talkin football. 2. I cant wait for class tomorrow lol
positive,#entrepreneur #angelinvestor pitch in on the new birthday party / Super Bowl Sunday treat http://t.co/HcU3990c
neutral,Mohamed Nasheed's Press brief about CONI report - 31 Aug 2012: http://t.co/niN6zHhn via @youtube
neutral,Calling all reality TV fans: We're inviting LI reality TV stars to join a Google+ Hangout on Sunday and you can too. http://t.co/WzO0bhVm
negative,"Honesty is often best policy: Fabio Capello, Russia coach: ""I was hoping Ronaldo's injury was more serious so he couldn't play tomorrow."""
neutral,"Dinner in Athens with my friend, @stevebeuerlein. Preparing for our game on @SEConCBS this Saturday. #OleMiss #Georgia http://t.co/4QqWxtnd"
positive,"@Yvette_Elena :) Most def, i think when you come tomorrow the boys will be here."
negative,This is Austin Rivers 1st game and people sucking him he a rookie chill !
neutral,@goatmilkstuff Hello. May I ask how did you get on set of Castle?
negative,"@HockeyyInsiderr "" @OilersNow: Gagner's agent says talks continue, will have hearing on Friday if no deal"" MSM just proved you're #clueless!"
positive,"Im enjoying Celebrity Juice instead of sleep, going to be fooked tomorrow though"
positive,"The Woman In Black - the legendary ghost thriller, touring to Dubai and Abu Dhabi in November &amp; December. More... http://t.co/2uz56zci"
neutral,Can it please be Wednesday and POTUS has been re elected. Then we can move this country #Forward!
neutral,Jacksonville really sound like the move tomorrow
negative,@JessieWagnon @tcswagg NOOOOOOOOO!!!!!! Maybe you can just look over it right before the test tomorrow and do that first
neutral,#hcafc loan keeper Ben Amos named in the England under-21s side to face Azerbaijan next Thursday and Norway on Sept 10.
neutral,@SteveRattner @JoeNBC @morningmika My friends and I are betting Joe wets his pants when he sees the whopping Mittens will get Nov 6
neutral,Me and @hayleyrose booked in to see A Good Day To Die Hard on February 14 2013 (Valentine's day).
positive,@AmianaTyransky: Frankie: I think I'm gonna have a date with my bed tomorrow Me: same. That's my boy
positive,Pray for Mohamed Morsi the new President of Egypt that he may continue to be a leader for freedom and peace.  http://t.co/f0LKm17i
negative,"Axl Rose needs to just give up. Now. Not later, not soon, not tomorrow. NOW!"
positive,Shout out to my boy @JshapMMA who fights tomorrow night on the Las Vegas #rfa card. He's put in the work so I don't need to wish him luck.
neutral,"If you're on the Isle of Man next Thurs, I'll be talking about Safe House and signing books at Waterstones from 6.30pm. @WaterstonesIoM"
neutral,PBR &amp; @mokbpresents bring you Jim White at the @Do317 Lounge on October 23rd at 7 pm! http://t.co/7x8OfC56
positive,Happy Halloween!! Starting this wicked Wednesday off listening to Pink Floyd and Leonard Cohen. Get to take my boys out tonight! Yay!!
negative,I wonder what Cortese is thinking after watching that 1st half of total wank? As for Boruc you are a disgrace and a complete TWAT. #saintsfc
neutral,On Sunday November 4th Olympus experts will be on hand at the Currys store in Cambridge.  From 10:30am until... http://t.co/skD7NlOY
positive,"Happy Valentines Day &lt;3... only if you live in Brazil, otherwise its just another irritating Monday."
negative,Okay me and @megnicolelewis are about to watch The Woman In Black. This may be a terrible night.
positive,@Real_Liam_Payne Saturday I buy my ticket for the #TMHTOUR in Belgium! I'm so happy!!!!
positive,"This goes way too fast :O Its been already a year that I saw Avril Lavigne in concert &lt;3 October 25 2011, one of the best day of my life :D"
neutral,Harry Redknapp is set to hold talks over the Blackburn job on Tuesday as he prepares for a return to management (Mail)
neutral,@SupremeJuice_ go to the bell game tomorrow I'll take you for. A littlle whippa
neutral,"So many choices of gigs this saturday night. The IBB at the Rugby club (which one, there are two up Twmpath?) and... http://t.co/sGKzLaEh"
neutral,@multiplexer How does it compare to Diablo III (regardless of how fair that comparison may be)?
negative,"How many continents was The Challenge filmed on? ""21?"" okay, what did you fail 2nd grade?"
positive,@TimOcchipinti Were going to be at Boys and Girls Club to clean tomorrow at 10am. They told us to bring boots and gloves. All are welcome.
neutral,"Last hectic day in office b4 3 weeks in ASIA. 1st to IFEAT in Singapore. Then Taiwan, HK, CHINA.Then 3 wks of jet lag!Gets to me every time!"
positive,David Letterman had an interesting show on Monday. He is located in New York City. Because of the hurricane he... http://t.co/Rt5ORbLK
neutral,Anonymous asked: Just realized while watchin fri-end that the youtube account that uploaded the video is... http://t.co/ljUqkCaG
positive,"November: my birthday month, election day, a weekend in San Fran with @AdamRGarcia, Naples for Thanksgiving, lots of friends &amp; family. YES."
negative,I've been on TV a few times now. Still waiting for the call from ITV about Dancing On Ice though. Starting to think I may be TOO famous.
neutral,"Slap Shot: Nash, Back From Injury, Skates for Davos: Rick Nash of the New York Rangers returned to action in Switzerland on Tuesday."
positive,"@AP I hope they make sure to take care of Eli Manning, Giants Vs Pittsburgh on Sunday #NFL"
negative,@jenscibs they canceled the Frankie date that was supposed to be tomorrow.  So now everyone is going to the rescheduled show in South Bend.
neutral,"I've got 2 tickets to see Leonard Cohen in Rosemont, IL on November 23 that I can't use. Anyone interested? Face value is about $300."
positive,WWE #raw should be interesting next week. The Road Dogg returned to WWE at the Royal Rumble and Shawn Michaels is going to be on Raw Monday
neutral,"I'm far too stressed about finishing this essay for tomorrow, so I shall minimise it and play Temple Run. #ProblemSolved"
positive,Kendrick Perkins led the league for the 4th year in a row in SPM (Scowls per minute) literally laughed out loud
neutral,"My #MUFC XI for Super Sunday: De Gea, Rafa, Rio, Evans, Evra, Clevz, Nani, Young, Roo, Chicha, RVP. What about you?"
positive,Eli manning best 4th quarter QB in the game!
neutral,"I don't want a love like Jonny and June, I want a love like Blake and Miranda."
negative,"Not sure what im going to be for halloween yet. Sun Shine is just too obvious, Larry Bird is the front runner as of right now."
neutral,"If Cundiff would've made the Field Goal Sunday, I could've been eatin' a free 6in sub at Subway for lunch!"
positive,Me personally don't see Grammy playing AFL again still 28 but i think he'll turn to something else now. Best of luck with what may be next.
negative,I feel do bad.. My boo Asia bday event maybe cancelled for this Sunday!... I was soooo looking forward to it
neutral,"Dirty Jim had to close that one out. If not, he may have started hearing comparisons to Cundiff in this town."
neutral,"After the Mid Tennessee vs. Western Kentucky game, I hear they're gonna play the 2nd annual Ogalla, Nebraska Snail Chuckin' Pageant."
neutral,"I'm going to Bullet for My Valentine at O2 Academy Glasgow in Glasgow, United Kingdom - Mar 13 http://t.co/WRBbihnV"
neutral,"It's Friday and the Soul Train is firmly parked in PRI for the Soul Show on the Radio, C'mon Perth get your requests in for the next hour :)"
neutral,"Next Tuesday is D2's Chocolate Day! With Halloween right around the corner, this is sure to curb your candy craving: http://t.co/zfr3EylG"
positive,"Shit, yeah, it's Thursday, Russell Howards Good News and Celebrity Juice is on"
positive,Pretty good Thursday night with @juliecbirch! If only Rivers would stop sucking so bad! # @ Qualcomm Stadium http://t.co/opLRzq4a
positive,"My Heart is Gold, my Twat is glass, c'mon baby can't ya see? Yes..a glass twat..better known as a ""womb with a view"" ;D LOL!"
positive,I'm so good at gambling. I just owned Las Vegas. Leaving tomorrow morning for a weekend of dog sitting and homework. Not a bad week.
neutral,Who's on Google+? We want you to participate in a live Google+ Hangout with AnimalSense next Wed 10/24 at... http://t.co/6uI6vbeY
positive,Had a wonderful workshop on Thursday at SAG office with Carol Nadell of Selective Casting. She is such a... http://t.co/lMvxPhsh
neutral,Charles Dickens may just have been me in another life. #thisisme http://t.co/Jb70qAyi
positive,Going to Buffalo Wild Wings tomorrow with my life long friend Israel and my brother.. That's what I call a good night. #KnicksNation
positive,7:15pm tomorrow night I have a date with Denzel! #Flight I can't wait!
positive,Apple CEO apologizes for error-ridden new map app - Apple CEO Tim Cook apologized Friday for the company&amp;#039;s erro... http://t.co/BjbXiPIq
positive,New Die Hard movie coming out Feb 14.. Looks like Bruce Willis is going to be my Valentines date:o)
positive,"I liked a @YouTube video http://t.co/HD89je4i Anonymous - Remember, Remember the 5th of November"
positive,"Hello man in pointy, multicoloured, snake skin cowboy boots, a suit and Axl Rose's hair, you've made my Friday heart even happier."
neutral,REAL America will stand up for itself on Tuesday and make it count. Mitt is ready to lead us out of our Jimmy Carter funk we're in
neutral,@LanceFischel5 Dana asked when Chael started his job with FOX and Chael response was Oct 1st on FUEL TV
neutral,"Hmm, I think I am living the movie Ground Hog Day, Grandma Jan and Isaac are back again this weekend"
positive,Me; 'ill bring your birthday card in on Friday' Kane; 'aw really? It's the thought that counts I'd prefer a tv' Twat
neutral,NFL News: New York Giants: Game-by-Game Predictions for the 2nd Half of the Season http://t.co/athFE77c #Football #NFL #NFCEast
positive,Gotta go see Flight tomorrow Denzel is the greatest actor ever
negative,"@yvettenbrown Damn, I just got Cougar Town cupcakes and was going to bring them tomorrow to share. I *shouldn't* eat all 12 alone..."
neutral,##$$## Black Friday Deals Olympus OM-D E-M5 16MP Live MOS Interchangeable Lens Camera with 3.0-Inch Tilting OLED Tou... http://t.co/LJDqpdlX
