label,tweet
positive,"['dontari', 'poe', 'run', 'slow', 'nfl', 'combine', 'maybe', 'round', 'pick', 'nice', 'work']"
negative,"['china', 'nine', 'arrest', 'crackdown', 'christian', 'row', 'church', 'cross', 'continue']"
neutral,"['play', 'never', 'play', 'ac', 'game', 'buy', 'mass', 'effect', 'wait', 'halo', 'idk', 'ill', 'ever', 'play']"
positive,"['glen', 'hoddle', 'harry', 'impact', 'friday', 'extraordinary', 'great', 'see', 'kane', 'lead', 'premier', 'league', 'scorer', 'come', 'score']"
positive,"['google', 'great', 'youtube', 'purchase', 'bet', 'facebook', 'equally', 'well', 'oculus']"
positive,"['tonight', 'friday', 'uptown', 'coffee', 'house', 'pm', 'victorian', 'christmas', 'concert', 'curtis', 'loretta']"
neutral,"['manchester', 'unite', 'try', 'return', 'win', 'way', 'face', 'arsenal', 'premier', 'league', 'old', 'trafford', 'saturday']"
positive,"['anyone', 'want', 'buy', 'kendrick', 'lamar', 'ticket', 'december', 'let', 'know']"
negative,"['hulk', 'hogan', 'good', 'day', 'tomorrow', 'realise', 'everyone', 'treat', 'like', 'world', 'class', 'cunt']"
neutral,"['may', 'figure', 'old', 'rousey', 'may', 'ill', 'advise', 'think', 'advantage', 'go', 'trilogy', 'fight']"
positive,"['rt', 'sell', 'tonight', 'charlie', 'cake', 'party', 'marco', 'hanna', 'live', 'dudu', 'sax']"
positive,"['haha', 'hardly', 'know', 'one', 'day', 'house', 'sit', 'make', 'watch', 'brit', 'award']"
neutral,"['think', 'david', 'wright', 'may', 'never', 'get', 'another', 'chance', 'playoff', 'feel', 'turn']"
positive,"['could', 'please', 'send', 'ed', 'sheeran', 'september', 'acc', 'inspire', 'get', 'tough', 'time']"
neutral,"['think', 'first', 'night', 'louis', 'briana', 'tho', 'save', 'april', 'dk']"
negative,"['disrespectful', 'travesty', 'potus', 'send', 'pelosi', 'biden', 'installation']"
neutral,"['college', 'night', 'tomorrow', 'icc', 'come', 'icc', 'cougarplex', 'meet', 'rep', 'college', 'one']"
neutral,"['twilight', 'may', 'really', 'shitty', 'movie', 'franchise', 'soundtrack', 'good']"
positive,"['agree', 'ron', 'john', 'kasich', 'get', 'chat', 'say', 'do', 'carly', 'ferino', 'get', 'chat', 'frm', 'debate']"
positive,"['tbs', 'play', 'comeback', 'episode', 'seinfeld', 'bust', 'jerk', 'store', 'line', 'tomorrow', 'debate']"
neutral,"['niall', 'mention', 'san', 'diego', 'really', 'need', 'know']"
neutral,"['junhyung', 'involve', 'new', 'song', 'prepix', 'think', 'produce', 'song', 'song', 'release', 'april']"
neutral,"['despite', 'recent', 'performance', 'let', 'make', 'sure', 'albion', 'fan', 'make', 'amex', 'total', 'noise', 'cauldron', 'friday', 'nonstopsinging']"
neutral,"['lawrence', 'county', 'bridgeport', 'fire', 'dispatch', 'curve', 'petrolia', 'trust']"
negative,"['nobody', 'know', 'drose', 'game', 'ever', 'return', 'march', 'seem', 'awfully', 'optimistic']"
negative,"['blow', 'soon', 'even', 'remember', 'day', 'last', 'june', 'june', 'club', 'paradise', 'correct', 'last', 'day', 'every', 'thing', 'seem', 'ok']"
neutral,"['sometimes', 'forget', 'zayn', 'leave', 'one', 'direction', 'realisation', 'hit', 'march']"
negative,"['sad', 'new', 'episode', 'naruto', 'thurs', 'basically', 'filler']"
negative,"['dark', 'soul', 'series', 'exception', 'ng', 'soul', 'realize', 'worth', 'stress']"
neutral,"['paul', 'dunne', 'tie', 'hole', 'day', 'overall']"
neutral,"['ryan', 'braun', 'bat', 'home', 'run', 'rbi', 'team', 'never', 'good', 'curtis', 'granderson']"
negative,"['unfortunately', 'magic', 'tv', 'delay', 'tomorrow', 'due', 'issue', 'cfb', 'studio']"
positive,"['enjoy', 'case', 'miss', 'national', 'ice', 'cream', 'day', 'past', 'sunday']"
positive,"['non', 'muslim', 'support', 'u', 'muslim', 'may', 'allah', 'guide', 'haqq', 'deen', 'islam', 'big', 'love']"
positive,"['cowboy', 'go', 'beat', 'falcon', 'sunday', 'night']"
neutral,"['paul', 'dunne', 'make', 'another', 'par', 'stay', 'meanwhile', 'jordan', 'spieth', 'short', 'green', 'road', 'hole']"
neutral,"['yes', 'please', 'enter', 'cape', 'argus', 'pick', 'n', 'pay', 'cycle', 'tour', 'happen', 'sun', 'mar']"
positive,"['tom', 'brady', 'win', 'afc', 'offensive', 'player', 'week', 'time']"
neutral,"['watch', 'interview', 'backstage', 'foo', 'fighter', 'show', 'wednesday', 'night']"
positive,"['frank', 'gifford', 'die', 'sunday', 'ct', 'home', 'family', 'rejoice', 'extraordinary', 'life', 'privilege', 'live']"
positive,"['deadpool', 'game', 'come', 'xbox', 'one', 'november', 'awesome']"
positive,"['kpop', 'psy', 'first', 'korean', 'win', 'grammy', 'psy', 'may', 'qualify', 'upcoming', 'grammy', 'award', 'gangnam', 'sty']"
neutral,"['big', 'brother', 'preempt', 'move', 'accommodate', 'cowboys', 'game', 'thursday']"
positive,"['star', 'wish', 'time', 'register', 'class', 'may', 'sage']"
neutral,"['fuck', 'kendrick', 'like', 'slay']"
neutral,"['hi', 'david', 'wright', 'davemattwright', 'u', 'want', 'get', 'free', 'iph', 'today', 'please', 'check', 'thx']"
positive,"['ya', 'girl', 'go', 'taylor', 'swift', 'tomorrow']"
neutral,"['qatar', 'receive', 'help', 'hezbollah', 'israel', 'get', 'qatar', 'last', 'gaza', 'war']"
neutral,"['win', 'way', 'get', 'roast', 'charlie', 'sheen', 'take', 'chin', 'saturday', 'night', 'comedy', 'central', 'tv', 'roast']"
neutral,"['think', 'stay', 'cole', 'might', 'come', 'lima', 'sat']"
positive,"['go', 'record', 'sting', 'win', 'belt', 'noc', 'drop', 'msg', 'show', 'wrong', 'ya', 'open', 'season']"
neutral,"['time', 'pic', 'lsu', 'coach', 'le', 'mile', 'say', 'bcs', 'title', 'game', 'bearing', 'matchup', 'alabama']"
positive,"['come', 'insider', 'tell', 'listener', 'josh', 'hamilton', 'look', 'great', 'bp', 'hit', 'bomb', 'ab', 'genius']"
negative,"['tiger', 'wood', 'play', 'well', 'sunday', 'wait', 'make', 'year']"
neutral,"['sunday', 'read', 'mt', 'bill', 'maher', 'one', 'misunderstand', 'religion']"
neutral,"['member', 'cud', 'agree', 'keep', 'pll', 'criminal', 'charge', 'central', 'may', 'catalyze', 'creation', 'special', 'court', 'vip']"
positive,"['maby', 'cuz', 'u', 'sooo', 'good', 'bowl', 'scar', 'u', 'get', 'sick', 'u', 'take', 'place', 'everytime']"
neutral,"['grandparent', 'day', 'providence', 'tomorrow', 'check', 'doily', 'girl', 'scout', 'make']"
positive,"['may', 'reinvent', 'personal', 'compute', 'via']"
neutral,"['fresh', 'catch', 'column', 'gay', 'crucible', 'catholic']"
positive,"['get', 'whole', 'saturday', 'night', 'work', 'entertainment', 'equalizer', 'good', 'film', 'btw']"
negative,"['one', 'season', 'wonder', 'tend', 'season', 'ridiculous', 'ppl', 'even', 'consider', 'kane', 'class', 'get', 'use']"
negative,"['seem', 'rest', 'life', 'may', 'convince', 'people', 'watch']"
negative,"['say', 'sunday', 'night', 'officially', 'last', 'day', 'march', 'band']"
positive,"['tonight', 'stardust', 'skate', 'center', 'free', 'pm', 'host', 'always', 'fun', 'roll', 'haha']"
neutral,"['really', 'hope', 'stay', 'even', 'kane', 'dy', 'exhaustion', 'november']"
neutral,"['basis', 'value', 'islam', 'raise', 'distinguished', 'scientist']"
neutral,"['bobby', 'jindal', 'candidate', 'actually', 'reduce', 'size', 'government']"
positive,"['daily', 'skimm', 'like', 'way', 'move', 'nice', 'info', 'bobby', 'jindal']"
negative,"['realize', 'fucking', 'tuesday', 'labor', 'day', 'mess', 'streaming', 'schedule']"
positive,"['prop', 'awesome', 'screen', 'green', 'event', 'jurassic', 'world', 'great', 'turnout', 'friday']"
positive,"['actually', 'today', 'usefull', 'love', 'friday', 'rest', 'day', 'iran']"
neutral,"['party', 'logic', 'dictate', 'make', 'much', 'sense', 'nintendo', 'platform', 'involve', 'simply', 'worth']"
neutral,"['know', 'battle', 'script', 'write', 'much', 'post', 'sure', 'none', 'inspire', 'sharknado']"
negative,"['hour', 'go', 'match', 'tomorrow', 'fucking', 'time', 'say', 'international', 'football', 'pain', 'ban', 'say', 'ktbffh']"
positive,"['look', 'result', 'gold', 'coast', 'get', 'excited', 'go', 'twickers', 'may']"
positive,"['first', 'thing', 'land', 'tomorrow', 'stop', 'dunkin', 'whole', 'week']"
neutral,"['hear', 'black', 'friday', 'collaboration', 'kendrick', 'lamar', 'right', 'question', 'kendrick', 'lamar']"
neutral,"['film', 'go', 'tomorrow', 'confirm', 'oldham']"
negative,"['jack', 'welch', 'mort', 'zuckerman', 'always', 'give', 'wisdom', 'business', 'style', 'part', 'make', 'mess']"
neutral,"['say', 'overly', 'comfy', 'mall', 'first', 'fri', 'afternoon', 'eid', 'many', 'men', 'woman', 'try', 'shrink', 'bust', 'inwards']"
positive,"['okay', 'frank', 'ocean', 'perform', 'fyf', 'festival', 'whoever', 'go', 'record', 'show', 'august']"
neutral,"['john', 'immigration', 'position', 'overton', 'window', 'shift', 'sensible', 'radical']"
positive,"['perhaps', 'may', 'time', 'soon', 'good', 'idea', 'loan', 'longo', 'espanyol']"
positive,"['love', 'mr', 'march', 'lady', 'gaga']"
neutral,"['yo', 'dean', 'ambrose', 'round', 'still', 'see', 'round', 'love', 'movie', 'john', 'cena']"
neutral,"['get', 'sunday', 'round', 'golf', 'tiger', 'wood', 'actually', 'contention', 'wear', 'red', 'course']"
positive,"['phone', 'live', 'foo', 'fighter', 'gig', 'liven', 'saturday', 'night', 'right']"
positive,"['zayn', 'still', 'look', 'ethereal', 'world', 'still', 'revolve', 'sun', 'still', 'shin', 'bright', 'nobody', 'care']"
neutral,"['gonna', 'watch', 'anatomy', 'day', 'today', 'tomorrow']"
negative,"['apparently', 'charlie', 'hebdo', 'attack', 'friday', 'massacre', 'happen', 'neighborhood', 'paris', 'bad', 'neighborhood']"
positive,"['go', 'sleep', 'early', 'ready', 'tomorrow', 'cab', 'evermore', 'maroon']"
neutral,"['holiday', 'meal', 'curtis', 'huffman', 'tuesday', 'regular', 'dinner', 'hour', 'check', 'menu', 'online']"
positive,"['happy', 'friday', 'forget', 'yoga', 'workshop', 'tomorrow', 'p', 'beginner', 'learn']"
neutral,"['erdogan', 'ak', 'party', 'set', 'keep', 'grip', 'interim', 'turkish', 'cabinet', 'ankara', 'aug', 'reuters', 'president', 'tayyip', 'e']"
positive,"['know', 'go', 'see', 'zac', 'brown', 'band', 'tomorrow', 'thing', 'keep', 'go', 'today']"
neutral,"['brit', 'award', 'win', 'mika', 'set', 'return', 'brand', 'new', 'album', 'origin', 'love', 'release', 'island', 'record', 'september']"
neutral,"['john', 'kasich', 'read', 'bible', 'figure', 'think', 'gov', 'john', 'kasich', 'sit', 'dana', 'bash', 'ta']"
negative,"['could', 'asleep', 'eleven', 'except', 'find', 'ipod', 'go', 'tired', 'tomorrow']"
positive,"['happy', 'go', 'see', 'justin', 'bieber', 'march']"
negative,"['angela', 'merkel', 'say', 'go', 'term', 'germany', 'go', 'dog', 'right']"
negative,"['cynically', 'may', 'realize', 'team', 'weak', 'less', 'see', 'good', 'draft', 'tom', 'brady']"
neutral,"['jay', 'price', 'money', 'oriole', 'griffin', 'lefty', 'david', 'price', 'opportunity', 'saturday']"
neutral,"['play', 'twilight', 'tomorrow', 'night', 'folk']"
positive,"['love', 'nike', 'player', 'way', 'go', 'serena', 'expect', 'great', 'thing', 'tomorrow', 'federer']"
negative,"['ok', 'louis', 'hasnt', 'see', 'briana', 'since', 'like', 'march', 'never', 'look', 'uncomfortable', 'interviewer']"
positive,"['day', 'eid', 'still', 'busyness']"
negative,"['get', 'paperwork', 'figure', 'work', 'man', 'united', 'real', 'madrid', 'get', 'together', 'man']"
neutral,"['john', 'cena', 'unable', 'attend', 'critique', 'tomorrow', 'night', 'time', 'first', 'one', 'album', 'life']"
neutral,"['daylight', 'saving', 'end', 'saturday', 'extra', 'hour', 'come', 'follow', 'detail']"
positive,"['kurt', 'solo', 'album', 'release', 'november', 'pink', 'new', 'blog']"
neutral,"['yeah', 'jeb', 'fully', 'support', 'trust', 'german', 'germany', 'back', 'putin', 'iran', 'assad']"
negative,"['sky', 'continue', 'emphasise', 'real', 'madrid', 'side', 'degea', 'issue', 'join', 'man', 'utd', 'hater', 'sun']"
negative,"['get', 'shit', 'fifth', 'album', 'still', 'say', 'zayn', 'come', 'back']"
positive,"['anniversary', 'classic', 'playstation']"
positive,"['love', 'thursday', 'anatomy', 'one', 'day', 'close', 'friday', 'driving', 'huntsville']"
neutral,"['live', 'blood', 'red', 'sky', 'uk', 'album', 'chart', 'september']"
neutral,"['build', 'lure', 'another', 'team', 'think', 'mariner', 'giant', 'white', 'sox', 'three', 'come', 'close']"
positive,"['correction', 'come', 'la', 'sunday', 'open', 'street', 'culver', 'city', 'venice', 'beach']"
neutral,"['another', 'one', 'note', 'dustin', 'johnson', 'hole', 'hit', 'bunker', 'tee', 'credit', 'instead']"
neutral,"['nwa', 'tell', 'ice', 'cube', 'get', 'bye', 'felicia', 'lmao', 'use', 'another', 'way', 'friday']"
positive,"['could', 'anything', 'good', 'listen', 'today', 'george', 'harrison', 'come', 'sun']"
positive,"['addition', 'bad', 'blood', 'brain', 'also', 'shuffle', 'wonder', 'woman', 'theme', 'california', 'gurls', 'still', 'good', 'november', 'rain']"
positive,"['love', 'billy', 'crystal', 'introduce', 'game', 'world', 'series']"
positive,"['definite', 'chris', 'evans', 'downey', 'open', 'idea', 'one']"
positive,"['get', 'wrong', 'love', 'bruno', 'mar', 'amaze', 'grammy', 'go', 'adam', 'best', 'pop', 'vocal', 'mean']"
neutral,"['one', 'bad', 'chip', 'tiger', 'wood', 'triple', 'bogey', 'par', 'fall', 'less', 'lose', 'chance', 'make', 'playoff']"
positive,"['double', 'dog', 'july', 'national', 'hot', 'dog', 'month', 'today', 'national', 'hot', 'dog', 'day', 'top', 'dog']"
positive,"['thanks', 'watch', 'valentine', 'hope', 'enjoyed', 'sport', 'sunday']"
positive,"['well', 'seinfeld', 'like', 'sun', 'comedy']"
positive,"['cristiano', 'ronaldo', 'real', 'madrid', 'go', 'win', 'atletico', 'sunday', 'wise', 'word', 'best', 'player', 'world']"
neutral,"['daily', 'zap', 'okc', 'v', 'san', 'june', 'daily', 'zap', 'okc', 'v', 'san', 'june', 'check', 'e', 'wait', 'pressskip', 'ad']"
positive,"['keep', 'get', 'well', 'saw', 'trailer', 'super', 'psycho', 'sweet', 'part', 'air', 'mtv', 'march', 'yes']"
neutral,"['july', 'refuse', 'acknowledge', 'august', 'frank', 'ocean', 'release', 'album']"
neutral,"['chance', 'caitlyn', 'jenner', 'may', 'charge', 'manslaughter', 'think', 'well', 'poor', 'bruce']"
positive,"['someone', 'run', 'wrong', 'route', 'andy', 'lee', 'save', 'monster', 'punt', 'special', 'team', 'rescue']"
neutral,"['little', 'country', 'saturday', 'night', 'jason', 'aldean', 'kenny', 'chesney']"
positive,"['catch', 'hugely', 'enlighten', 'docu', 'ascent', 'woman', 'last', 'wed', 'bbc', 'u', 'want', 'catch', 'show', 'origin', 'oppression']"
positive,"['forget', 'mount', 'hot', 'pool', 'second', 'soak', 'n', 'sound', 'tomorrow', 'night', 'feature', 'none', 'fleetwood', 'mac']"
neutral,"['december', 'lady', 'gaga', 'arrive', 'airport', 'lax', 'los', 'angeles']"
positive,"['carly', 'fiorina', 'may', 'well', 'smart', 'woman', 'world', 'next', 'angela', 'merkel']"
neutral,"['sharknado', 'premier', 'tomorrow', 'night', 'let', 'yall', 'know']"
neutral,"['u', 'gotta', 'get', 'front', 'kane', 'one', 'lap']"
neutral,"['really', 'hope', 'nintendo', 'pay', 'attention', 'apologize', 'advance', 'cause', 'go', 'annoy', 'may', 'loose', 'follower']"
neutral,"['last', 'day', 'eid', 'feel', 'like', 'sunday', 'monday']"
neutral,"['islam', 'may', 'discriminate', 'however', 'jizya', 'tax', 'example']"
neutral,"['heather', 'mill', 'nothing', 'nice', 'say', 'ex', 'paul', 'mccartney', 'marilyn', 'malaralondon', 'july']"
neutral,"['rt', 'remember', 'obama', 'say', 'would', 'fundamentally', 'transform', 'usa', 'debt', 'downgrade', 'friday']"
positive,"['may', 'auspicious', 'occasion', 'eid', 'bless', 'peace', 'bring', 'joy', 'heart', 'home', 'best', 'regard', 'hamayoon', 'amanzai']"
positive,"['could', 'wish', 'friend', 'happy', 'birthday', 'name', 'laurin', 'birthday', 'big', 'fan', 'thanks', 'advance']"
positive,"['real', 'madrid', 'get', 'good', 'de', 'gea', 'saga', 'barca', 'goalie', 'also', 'pressure', 'transfer', 'deadline', 'day', 'may']"
neutral,"['tomorrow', 'decade', 'day', 'wear', 'black', 'oreo']"
neutral,"['hair', 'dark', 'last', 'insta', 'post', 'middle', 'hair', 'silver']"
positive,"['republican', 'presidential', 'candidate', 'carly', 'fiorina', 'rip', 'donald', 'incendiary', 'remark', 'megyn', 'kelly', 'friday', 'night']"
negative,"['tho', 'respect', 'decision', 'agree', 'james', 'mcclean', 'may', 'necessarily', 'supporter', 'ira', 'say', 'poppy', 'stand']"
neutral,"['manchester', 'clear', 'focus', 'george']"
neutral,"['want', 'tell', 'people', 'great', 'islam', 'yet', 'great', 'muslim', 'may', 'action', 'speak', 'loud', 'word']"
positive,"['highlight', 'colt', 'victory', 'pembroke', 'lumber', 'king', 'hope', 'enjoy', 'may', 'last', 'one']"
neutral,"['make', 'sure', 'leave', 'dunkin', 'home', 'tomorrow', 'want', 'sharpe', 'snap']"
positive,"['alright', 'beat', 'viking', 'sunday', 'game', 'behind', 'pat']"
neutral,"['people', 'watch', 'sharknado', 'tomorrow', 'terrorist', 'hate', 'u']"
negative,"['remember', 'former', 'st', 'louis', 'blue', 'star', 'pavol', 'demitra', 'today', 'true', 'talent', 'class', 'guy', 'way', 'sad', 'loss', 'family']"
positive,"['thank', 'mount', 'carmel', 'college', 'spirited', 'conversation', 'today', 'rahul', 'gandhi', 'bangalore', 'nov', 'congress']"
positive,"['world', 'muslim', 'everyone', 'whatever', 'religion', 'culture', 'may', 'live', 'let', 'live', 'wisdom', 'truth']"
positive,"['tomorrow', 'stream', 'minecraft', 'est', 'see']"
neutral,"['yakub', 'may', 'hv', 'case', 'base', 'report', 'left', 'liberal', 'entry', 'save', 'change', 'character', 'case', 'wd', 'sadhvi', 'pragya']"
negative,"['yeah', 'know', 'sunday', 'delivery', 'whatnot', 'else', 'amazon', 'prime', 'package', 'half', 'hour', 'late', 'far']"
positive,"['im', 'see', 'ed', 'live', 'saturday', 'nia', 'would', 'amaze', 'get', 'book', 'sign', 'thanks', 'put', 'together']"
neutral,"['bjp', 'want', 'rahul', 'gandhi', 'come', 'clean', 'british', 'citizenship', 'issue', 'may', 'raise']"
negative,"['kim', 'kardashian', 'prove', 'world', 'suck', 'enough', 'dick', 'apple', 'may', 'make', 'emoji']"
positive,"['game', 'scott', 'chris', 'evans', 'part', 'la', 'risa', 'de', 'chris', 'dio', 'risa', 'basta']"
neutral,"['launch', 'day', 'carling', 'cup', 'final', 'see', 'dont', 'buy', 'sun', 'poster']"
positive,"['watch', 'woman', 'black', 'time', 'hahaha']"
negative,"['netflix', 'sleep', 'get', 'early', 'tomorrow', 'want', 'still', 'recover', 'swift']"
neutral,"['seth', 'rollins', 'love', 'hate', 'best', 'heel', 'weasle', 'game', 'god', 'know', 'many', 'year', 'monday', 'night', 'rollins']"
neutral,"['kanye', 'west', 'may', 'well', 'run', 'president', 'interesting', 'thing', 'say', 'last', 'night']"
neutral,"['straight', 'outta', 'compton', 'come', 'great', 'first', 'act', 'stay', 'ice', 'cube', 'write', 'friday', 'laptop', 'say', 'kill', 'screenplay']"
neutral,"['qualify', 'qbs', 'russell', 'wilson', 'nfl', 'yard', 'air', 'lot', 'dump', 'offs', 'screen', 'pass', 'intermediate', 'route']"
positive,"['david', 'cameron', 'theresa', 'may', 'please', 'something', 'help']"
neutral,"['tottenham', 'v', 'wigan', 'match', 'preview', 'tottenham', 'wigan', 'set', 'meet', 'white', 'hart', 'lane', 'saturday']"
positive,"['rodgers', 'term', 'method', 'one', 'thing', 'clear', 'day', 'recovery', 'people', 'think', 'player', 'day', 'sit', 'home', 'watch', 'tv']"
neutral,"['friday', 'fish', 'fry', 'football', 'tressa']"
positive,"['end', 'streak', 'bad', 'movie', 'tomorrow', 'go']"
negative,"['strange', 'sunday', 'graham', 'richardson', 'defend', 'gillard', 'state', 'pm', 'plot', 'rudd', 'say', 'know']"
positive,"['ucla', 'reclaim', 'lead', 'minute', 'goal', 'galore', 'far']"
negative,"['newark', 'nigga', 'nasty', 'lol', 'tell', 'boy', 'name', 'shawn', 'use', 'call', 'st', 'hoodlum']"
neutral,"['noone', 'tell', 'slingbox', 'watched', 'son', 'anarchy', 'niner', 'game', 'monday']"
neutral,"['salat', 'prayer', 'pillar', 'islam', 'mention', 'charity', 'pillar', 'mention']"
negative,"['absolutely', 'mortify', 'gutted', 'sam', 'smith', 'may', 'new', 'bond', 'song']"
neutral,"['imagine', 'clash', 'celebrity', 'big', 'brother', 'launch', 'though', 'torn']"
positive,"['mobile', 'test', 'supply', 'complete', 'mr', 'h', 'v', 'happy', 'less', 'high', 'st', 'price', 'book']"
neutral,"['might', 'well', 'drop', 'last', 'friday', 'let', 'ice', 'cube', 'son', 'play', 'craig', 'niggas', 'look', 'jus', 'alike']"
positive,"['thursday', 'mark', 'tom', 'consecutive', 'opening', 'day', 'start', 'large', 'active', 'streak', 'nfl']"
neutral,"['duffy', 'gear', 'showdown', 'rival', 'white', 'sox', 'danny', 'duffy', 'get', 'start', 'royal', 'saturday', 'nigh']"
neutral,"['well', 'monsoon', 'come', 'north', 'bomb', 'squad', 'midtown', 'time', 'go']"
neutral,"['hour', 'headache', 'get', 'galaxy', 'note', 'tomorrow', 'hopefully', 'headache', 'later', 'deal', 'cleanup']"
neutral,"['july', 'mayhem', 'bikini', 'top', 'edition', 'go', 'july', 'club', 'crucial', 'bouta', 'turn', 'upp']"
neutral,"['hey', 'nevada', 'tweeps', 'remember', 'tomorrow', 'last', 'day', 'early', 'voting', 'ready', 'set', 'vote']"
positive,"['pat', 'fan', 'long', 'tampa', 'fly', 'friday', 'night', 'consider', 'budget', 'love', 'buy', 'cigar']"
negative,"['kyle', 'clown', 'qb', 'system', 'dayzz', 'byu', 'game', 'may', 'back', 'corner']"
neutral,"['sir', 'terry', 'leahy', 'man', 'behind', 'success', 'speak', 'wgc', 'tomorrow']"
neutral,"['make', 'huge', 'sacrifice', 'croke', 'park', 'large', 'stadium', 'europe', 'ed', 'sheeran', 'concert', 'recently']"
neutral,"['imma', 'get', 'full', 'star', 'war', 'saga', 'bundle', 'today', 'lil', 'guy', 'birthday', 'friday']"
positive,"['height', 'snoop', 'dogg', 'wowie', 'smoke', 'marijune', 'erry', 'sunday']"
negative,"['explain', 'true', 'cause', 'london', 'riot', 'front', 'page', 'sun', 'immigrant', 'hero', 'police', 'also', 'get', 'headline']"
positive,"['bet', 'life', 'equivalent', 'behind', 'music', 'start', 'chris', 'brown', 'tomorrow']"
positive,"['muse', 'jonathan', 'ross', 'brilliant', 'exciting', 'news', 'muse', 'announce', 'monday', 'gotham', 'record']"
positive,"['everyone', 'enjoy', 'rain', 'u', 'see', 'paul', 'mccartney', 'live', 'detroit']"
neutral,"['hi', 'would', 'like', 'invite', 'become', 'vendor', 'annual', 'info']"
negative,"['still', 'wait', 'phone', 'come', 'back', 'sony', 'bit', 'lose', 'without', 'hopefully', 'back', 'thursday', 'last', 'upload', 'pc']"
positive,"['feel', 'enlighten', 'life', 'may', 'reach', 'nirvana']"
neutral,"['ed', 'sheeran', 'ticket', 'call', 'soon', 'hear', 'song', 'thanks']"
negative,"['panther', 'advocate', 'killing', 'police', 'scotus', 'say', 'true', 'threat', 'outside', 'amendment']"
positive,"['saw', 'big', 'brother', 'best', 'bit', 'advert', 'next', 'saturday', 'face', 'best', 'bit', 'big', 'brother']"
positive,"['best', 'day', 'watch', 'baseball', 'sun', 'go', 'red', 'sox', 'fenway', 'park']"
positive,"['go', 'watch', 'time', 'drving', 'everybody']"
positive,"['naruto', 'course', 'like', 'damn', 'time', 'watch', 'sao', 'sooo', 'damn', 'good']"
positive,"['catch', 'film', 'tomorrow', 'watch', 'watch', 'maggie', 'southpaw']"
neutral,"['brock', 'lesnar', 'man', 'cant', 'pay', 'sunday']"
